product_code,name,spec,color,base_unit
23MS02224,"中灰色 NEUTRAL GREY(17-4402TPG) YS-0797 三层网 54""",,中灰色17-4402TPG,Y
24FB00814,"8安 水绿色(13-6006TPG) 帆布 54""",,水绿色13-6006TPG,码
24FB00944,"海洋蓝MOONLIT OCEAN（19-4122TPX）  220g 佳积布 54""",,海洋蓝19-4122TPX,Y
WJ000328,"150G白色佳积布54""",,白色,码
22IM00135,"黑色 DJ132 单层网布 54"" 240g",,黑色,Y
22MS00521,"白色 DJ132 240g 单层网布 54""",,白色,Y
23FB00870,"白色 DJ132网布 54"" 240g",,白色,Y
24MS01243,"白色 DJ132 240g 单层网布 54"" 耐黄",,白色,Y
22IM00411,"白色 佳积布 54"" 120g 耐黄",,白色,Y
22IM00132,"黑色 佳积布 54"" 120g;;",,黑色,Y
WS001365,"300G 佳宝蓝色YS2975三层网54""",,佳宝蓝色,码
WB11679,"250G 黑色佳积布54""",,黑色,码
WS001301,"360-380G 白色空气层54""",,白色,码
24MS00955,"橘子色17-1140TPG XF-3066纹 单层网布 54""",,橘子色17-1140TPG,Y
24MS01434,"星蓝18-4026TPG XF-3066纹 单层网布 54""",,星蓝18-4026TPG,Y
23MS00148,"奶油黄11-4302TPG XF-3066纹 单层网布 54""",,奶油黄11-4302TPG,Y
23MS02270,"椰奶白11-0608TPG XF-3066纹 单层网布 54""",,椰奶白11-0608TPG,Y
24MS01796,"黑色 RM1247- D纹 三层网 54""",,黑色,Y
24MS01797,"白色 RM1247- D纹 三层网 54""",,白色,Y
24MS01799,"蓝色S.T.Web RM1247-D纹 三层网 54""",,蓝色,Y
24MS01800,"粘土灰Clay Ash RM1247- D纹 三层网 54""",,粘土灰,Y
24MS01801,"深灰色Stealth RM1247- D纹 三层网 54""",,深灰色,Y
24MS01803,"运动蓝Athletic Navy 533C RM1247- D纹 三层网 54""",,运动蓝,Y
24MS02000,"淡蓝色W.F.P.Blue RM1247- D纹三层网 54""",,淡蓝色,Y
15IM00580,"黑色 BK网布 54"" 220g",,黑色,Y
18MS00370,"黑色 220g BK网布 54""",,黑色,Y
18MS00371,"白色 BK 220g 网布 54""",新色卡,白色,Y
21FB00828,"GH209#杂灰色 汗衣布 54""POLYESTER",,杂灰色,Y
24MS00150,"焦褐绿Burnt Olive18-0521TCX 220g BK网布 54""",,焦褐绿18-0521TCX,Y
24MS00154,"玉石白White Onyx 12-4300TPG GF-731/HD-A6932/GH-H2220-06纹330g 三层网 54""",,玉石白12-4300TPG,Y
24MS00158,"焦褐绿Burnt Olive18-0521TCX GF-731/HD-A6932/GH-H2220-06纹330g 三层网 54""",,焦褐绿18-0521TCX,Y
24MS00159,"米白色Chalk White GF-731/HD-A6932/GH-H2220-06纹 330g 三层网 54""",,米白色,Y
24MS00161,"冰褐色A.C.Beige GF-731/HD-A6932/GH-H2220-06纹 330g 三层网 54""",,冰褐色-2,Y
24MS00511,"运动蓝Athletic Navy 220g BK网布 54""",,运动蓝,Y
24MS00701,"征途绿N.J.Green BK网布 54""",,征途绿,码
24MS00703,"哇哇粉Wow Pink BK网布54""",,哇哇粉,Y
24MS01794,"粘土灰Clay Ash BK网布54""",,粘土灰,Y
24MS02001,"深湖蓝Deep Cobalt19-3935TPG 220g BK网布 54""",,深湖蓝19-3935TPG,Y
WN000130,浅褐灰14-1208TPG YS960D加密牛津布上防脱纱（厂商直上）54″,,浅褐灰14-1208TPG,码
WN000138,岩灰18-5204TPG YS960D加密牛津布上防脱纱（厂商直上）54″,,岩灰18-5204TPG,码
22FB00271,"白色235g  （健康布）加密针织布54""",,黑色,Y
22MS00310,"白色 K107 250g 单层网布 54""",,白色,Y
WJ000444,"140G白色佳积布58""",,白色,码
WJ000454,"140G黑色佳积布58""",,黑色,码
WJ000338,"250G 驼色佳积布54""",,驼色,码
WD001456,"300G 黑色天鹅绒54""",,黑色,码
WD001865,"300G 白色天鹅绒54""",,白色,码
WD001667,230G/Y 白色K208网布54″耐汗,,白色,码
WD001668,230G/Y 黑色K208网布耐汗54″,,黑色,码
WD003498,230G 11-4800布兰白色YS148D单层弹力网54″,,11-4800布兰白色,码
WD003500,230G 16-5803火石灰色YS148D单层弹力网54″,,16-5803火石灰色,码
WD003502,230G 黑色YS148D单层弹力网54″,,黑色,码
24MS01071,"黑色 D01 230g 网布 54"" 防虹吸",,黑色,Y
24MS01357,"紫色18-3011TPX D01 230g 网布54"" 防虹吸",,紫色18-3011TPX,Y
24MS00037,"白色 220g 低弹平布 54"" 分化黑色+橘色16-1462TPX图案",,分化黑色+橘色16-1462TPX图案,Y
24MS01289,"灰色16-3915TCX D01 230g 网布54"" 防虹吸",,灰色16-3915TCX,Y
WB4617,"230G 标准白POLYPAG PII网布54""","54""",标准白,码
WB4822,"130G 白色丝光布54""",,白色,码
WD002924,"240G 白色YS121细纱弹力网布上轻树脂54""",,白色,码
FX000226,"200G黑色拉毛四面弹54""",,黑色,码
WB10742,"黑色300G提花天鹅绒54""","54""",黑色,码
WB13219,"180G 黑色K209网布54""","54""",黑色,码
WB13223,"380G 黑色K666单层网布54""","54""",黑色,码
WB14777,"180G 黑色K209网布55""","55""",黑色,码
WB7416,"3U黑色180G天鹅绒54""","54""",黑色,码
WB7447,"白色180G天鹅绒54""","54""",白色,码
