external_order_no,customer_name,order_date,remarks
ALCPO2506199,安健致远,2025-03-22 00:00:00,
4510186431,星昌/星联,2025-03-22 00:00:00,库存50#
4510186463,星昌/星联,2025-03-22 00:00:00,
CGD20250300764,联成,2025-03-22 00:00:00,
AHJPO2516666,安恒,2025-03-24 00:00:00,
4510186751,星昌/星联,2025-03-24 00:00:00,
ALCPO2506347,安健致远,2025-03-25 00:00:00,
ALCPO2506353,安健致远,2025-03-25 00:00:00,
ALCPO2506384,安健致远,2025-03-25 00:00:00,3/28收到
ALCPO2505366,安健致远,2025-03-25 00:00:00,
ALCPO2506373,安健致远,2025-03-25 00:00:00,
AHJPO2517137,安恒,2025-03-25 00:00:00,
AHJPO2517138,安恒,2025-03-25 00:00:00,141Y分化
ALCPO2506554,安健致远,2025-03-25 00:00:00,3/27改数量
ALCPO2506372,安健致远,2025-03-25 00:00:00,
ALCPO2506568,安健致远,2025-03-25 00:00:00,
ALCPO2506565,安健致远,2025-03-25 00:00:00,
AHJPO2516996,越南安恒,2025-03-25 00:00:00,同018单/联系郑经理
4510186910,星昌/星联,2025-03-26 00:00:00,
4510187175,星昌/星联,2025-03-26 00:00:00,
4510187169,星昌/星联,2025-03-26 00:00:00,
AHJPO2517371,安恒,2025-03-26 00:00:00,
ALCPO2506618,安健致远,2025-03-26 00:00:00,
ALCPO2506684,安健致远,2025-03-26 00:00:00,
AHJPO2517394,安恒,2025-03-26 00:00:00,
AHJPO2517417,安恒,2025-03-26 00:00:00,
ALCPO2506686,安健致远,2025-03-26 00:00:00,3/28收到
4510187276,星昌/星联,2025-03-27 00:00:00,
4510187206,星昌/星联,2025-03-26 00:00:00,
ALCPO2506718,安健致远,2025-03-27 00:00:00,
ALCPO2506735,安健致远,2025-03-27 00:00:00,排550Y
25026E,福盛和,2025-03-27 00:00:00,剪确认
AHJPO2517473,安恒,2025-03-26 00:00:00,4/1收到/排65Y
ALCPO2506744,安健致远,2025-03-27 00:00:00,
CGD20250300933,联成,2025-03-26 00:00:00,
CGD20250300950,联成,2025-03-26 00:00:00,
CGD20250300966,联成,2025-03-26 00:00:00,
CGD20250301006,联成,2025-03-27 00:00:00,
25026A-1,福盛和,2025-03-27 00:00:00,
25026B-1,福盛和,2025-03-27 00:00:00,
2025HL027/028,顶峰,2025-03-27 00:00:00,
AHJPO2518261,安恒,2025-03-28 00:00:00,"已发,补开货单"
AHJPO2518303,安恒,2025-03-28 00:00:00,4/1收到剪确认本白
ALCPO2507041,安健致远,2025-03-29 00:00:00,扣双源-A盛伟做的
ALCPO2507054,安健致远,2025-03-29 00:00:00,26扣199#
CGD20250301049,联成,2025-03-29 00:00:00,
CGD20250301062,联成,2025-03-29 00:00:00,
4510187968,星昌/星联,2025-03-29 00:00:00,
AHJPO2518398,安恒,2025-03-29 00:00:00,
ALCPO2507070,安健致远,2025-03-29 00:00:00,
AHJPO2518435,安恒,2025-03-31 00:00:00,"4/6收到,"
4510188151,星昌/星联,2025-03-31 00:00:00,
4510188469,星昌/星联,2025-04-01 00:00:00,
4510188861,星昌/星联,2025-04-02 00:00:00,
CHT2502069-04,来克,2025-04-02 00:00:00,
CHT2502068-04,来克,2025-04-02 00:00:00,
CHT2502067-02,来克,2025-04-02 00:00:00,
CHT2502066-03,来克,2025-04-02 00:00:00,
CHT2502064-03,来克,2025-04-02 00:00:00,
ALCPO2507469,安健致远,2025-04-02 00:00:00,4/2收到/排2件
AHJPO2520592,安恒,2025-04-01 00:00:00,
AHJPO2520634,安恒,2025-04-02 00:00:00,"4/3收到,开机"
AHJPO2520637,安恒,2025-04-02 00:00:00,
AHJPO2520707,安恒,2025-04-02 00:00:00,
CGD20250400016,联成,2025-04-02 00:00:00,
CGD20250400064,联成,2025-04-02 00:00:00,
CGD20250400135,联成,2025-04-02 00:00:00,
ALCPO2507691,安健致远,2025-04-02 00:00:00,
4510188855,星昌/星联,2025-04-02 00:00:00,
ALCPO2507812,安健致远,2025-04-02 00:00:00,
ALCPO2507801,安健致远,2025-04-02 00:00:00,4/7收到/剪宏境确认
4510189210,双源,2025-04-03 00:00:00,
4510189328,星昌/星联,2025-04-03 00:00:00,
ALCPO2507907,安健致远,2025-04-05 00:00:00,
4510181004,星昌/星联,2025-04-05 00:00:00,
4510174520,星昌/星联,2025-04-05 00:00:00,
AHJPO2520930,安恒,2025-04-05 00:00:00,
4510189624,星昌/星联,2025-04-05 00:00:00,
4510189636,星昌/星联,2025-04-05 00:00:00,
ALCPO2507984,安健致远,2025-04-05 00:00:00,
ALCPO2508001,安健致远,2025-04-05 00:00:00,4/15取消
4510189747,星昌/星联,2025-04-06 00:00:00,
ALCPO2508399,安健致远,2025-04-07 00:00:00,
4510189824,星昌/星联,2025-04-07 00:00:00,
AHJPO2520957,安恒,2025-04-07 00:00:00,前面已发150Y
CGD20250400193,联成,2025-04-07 00:00:00,
J20250407001,盈兴,2025-04-07 00:00:00,扣库样品盛1件
4510190025,星昌/星联,2025-04-07 00:00:00,
4510190090,星昌/星联,2025-04-09 00:00:00,
4510190207,星昌/星联,2025-04-09 00:00:00,
AHJPO2520951,安恒,2025-04-14 00:00:00,标A
4510191199,双源,2025-04-14 00:00:00,盛1件加2小件/排100公斤
系统升级还没给订单,安恒,2025-04-14 00:00:00,
4510191154,星昌/星联,2025-04-14 00:00:00,
ALCPO2508616,安健致远,2025-04-15 00:00:00,
4510191502,星昌/星联,2025-04-15 00:00:00,
4510191527,星昌/星联,2025-04-15 00:00:00,做500Y
CGD20250400348,联成,2025-04-15 00:00:00,
CGD20250400397,联成,2025-04-15 00:00:00,
CGD20250400438,联成,2025-04-15 00:00:00,
CGD20250400444,联成,2025-04-15 00:00:00,
CGD20250400460,联成,2025-04-15 00:00:00,
CGD20250400574,联成,2025-04-15 00:00:00,
4510191556,星昌/星联,2025-04-15 00:00:00,
K25223/225,康硕,2025-04-15 00:00:00,要更改纹路
K25223/226,康硕,2025-04-15 00:00:00,要更改纹路
K-25210黑色,康硕,2025-04-15 00:00:00,排600Y
4510191671,星昌/星联,2025-04-16 00:00:00,
4510191819,星昌/星联,2025-04-17 00:00:00,
4510192068,双联,2025-04-17 00:00:00,1
4510192078,星昌/星联,2025-04-17 00:00:00,
J20250418001,盈兴,2025-04-18 00:00:00,4/19收到
4510192102,双源,2025-04-18 00:00:00,
AHJPO2525353,安恒,2025-04-18 00:00:00,"2件去上,5月6号给订单"
4510192316,星昌/星联,2025-04-19 00:00:00,
4510192365,星昌/星联,2025-04-19 00:00:00,
CGD20250400599,联成,2025-04-19 00:00:00,
CGD20250400616,联成,2025-04-19 00:00:00,
4510192787,双源,2025-04-22 00:00:00,"本白,开染费"
AHJPO2528063,安恒,2025-04-22 00:00:00,更改数量
J20250423001,盈兴,2025-04-23 00:00:00,
ALCPO2507707,安健致远,2025-04-24 00:00:00,
4510193276,双源,2025-04-24 00:00:00,
4510193591,双源,2025-04-25 00:00:00,
4510193729,星昌/星联,2025-04-26 00:00:00,
4510193818,双源,2025-04-26 00:00:00,
4510193809,星昌/星联,2025-04-26 00:00:00,
AHJPO2526816,安恒,2025-04-26 00:00:00,宏溢/4/27收到加无氟防虹吸
AHJPO2527932,安恒,2025-04-26 00:00:00,4/27收到/无氟防虹吸
AHJPO2526829,安恒,2025-04-26 00:00:00,4/27收到5/30恢复
4510193825,星昌/星联,2025-04-26 00:00:00,
4510193920,双源,2025-04-28 00:00:00,
AHJPO2521172,安恒,2025-04-28 00:00:00,
4510193972,星昌/星联,2025-04-28 00:00:00,
4510194086,双源,2025-04-28 00:00:00,
ALCPO2508512,安健致远,2025-04-29 00:00:00,排1件
ALCPO2508541,安健致远,2025-04-30 00:00:00,
4510194683,双源,2025-04-30 00:00:00,开染费
AHJPO2535467,安恒,2025-04-30 00:00:00,库存150#
AHJPO2535952,安恒,2025-04-30 00:00:00,
J20250430002,盈兴,2025-04-30 00:00:00,5/3收到
4510194990,星昌/星联,2025-05-02 00:00:00,
4510195414,星昌/星联,2025-05-04 00:00:00,
4510195520,星昌/星联,2025-05-04 00:00:00,
AHJPO2523739,安恒,2025-05-04 00:00:00,5/8减少数量
AHJPO2527595,安恒,2025-05-04 00:00:00,5/15取消
4510195541,双源,2025-05-05 00:00:00,
4510195550,星昌/星联,2025-05-05 00:00:00,5/6收到水洗本白耐黄
AHJPO2524610,安恒,2025-05-05 00:00:00,
4510195727,双源,2025-05-06 00:00:00,1件
AHJPO2524794,安恒,2025-05-06 00:00:00,前面订单没订单号多发83Y扣用
AHJPO2524867,安恒,2025-05-06 00:00:00,
4510195917,星昌/星联,2025-05-06 00:00:00,
AHJPO2525508,安恒,2025-05-06 00:00:00,
AHJPO2525438,安恒,2025-05-06 00:00:00,
4510196008,星昌/星联,2025-05-07 00:00:00,
AHJPO2521187,安恒,2025-05-07 00:00:00,5/10恢复
AHJPO2525902,安恒,2025-05-07 00:00:00,5/15收到
ALCPO2509697,安健致远,2025-05-07 00:00:00,
237841,KSD,2025-05-09 00:00:00,
ALCPO2509722,安健致远,2025-05-09 00:00:00,
4510196541,双联,2025-05-09 00:00:00,1
AHJPO2526391,安恒,2025-05-09 00:00:00,"6/8收到,反面对色,允收,下次翻单才对色卡"
AHJPO2526770,越南安恒,2025-05-10 00:00:00,库存2件
AHJPO2526761,安恒,2025-05-10 00:00:00,
AHJPO2526795,安恒,2025-05-10 00:00:00,
J20250512001,盈兴,2025-05-12 00:00:00,5/12收到件本白
ALCPO2509973,安健致远,2025-05-12 00:00:00,
ALCPO2510001,安健致远,2025-05-12 00:00:00,5/13收到剪
4510196985,星昌/星联,2025-05-12 00:00:00,调现货
AHJPO2527210,安恒,2025-05-12 00:00:00,排180Y
ALCPO2510067,安健致远,2025-05-13 00:00:00,
ALCPO2510049,安健致远,2025-05-13 00:00:00,
302448L,KSD,2025-05-13 00:00:00,环保树脂2个点
303262L,KSD,2025-05-13 00:00:00,
4510197144,星昌/星联,2025-05-13 00:00:00,
4510197421,星昌/星联,2025-05-14 00:00:00,水洗本白耐黄
4510195991,星昌/星联,2025-05-14 00:00:00,
4510188139,星昌/星联,2025-05-14 00:00:00,
4510185059,星昌/星联,2025-05-14 00:00:00,
4510197464,双源,2025-05-15 00:00:00,
AHJPO2528060,安恒,2025-05-15 00:00:00,5/15收到
AHJPO2528049,安恒,2025-05-15 00:00:00,5/19群里通知减少
4510197801,星昌/星联,2025-05-15 00:00:00,
4510197919,星昌/星联,2025-05-16 00:00:00,
