supplier_name,receipt_date,product_code,product_name,received_qty,unit,related_external_order_no
荣翔,2/18,24MS02351,"黑色139-18-00 K106 230-250g 单层网布 54""",1504.5,Y,ALCPO2500622
峰星,2/13,,白K905低弹平布网布,986.95652173913,Y,CGD20250100702
泉亿,2/26,24FB01186,"白色109-98-01 250g 加密真美布54""",251.1,Y,ALCPO2500670
泉亿,2/26,24FB01189,"黑色139-18-00 250g 加密真美布54""",168,Y,ALCPO2500670
盛玮,2/26,24FB01190,"水洗黑Washed Black 002-24-00 250g 加密真美布 54""",629.230769230769,Y,ALCPO2500670
峰星,2/21,24FB01193,"白色109-98-01 220-230g 低弹平布 54""",500,Y,ALCPO2500670
盛玮,2/26,24FB01239,"海盐色Chalk 036-90-02 250g 加密真美布 54""",1031.33333333333,Y,ALCPO2500670
峰星,2/19,24FB01240,"海盐色Chalk 036-90-02 220-230g 低弹平布 54""",1041.73913043478,Y,ALCPO2500670
盛玮,3/1,24FB01241,"太妃粉Dusty Rose 154-63-12 250g 加密真美布 54""",364.230769230769,Y,ALCPO2500670
双辉,3/5,24FB01290,"白色109-98-01 250g 组织布54""",583.2,Y,ALCPO2500670
盛玮,2/26,24IM00269,"黑色139-18-00 佳积布 54""250g",714.8,Y,ALCPO2500670
盛玮,2/27,24IM00272,"海盐色Chalk 036-90-02 佳积布54"" 250g",613.6,Y,ALCPO2500670
盛玮,2/22,24IM00285,"纯灰色02 Pure Grey 2 ADHD 佳积布 54"" 250g",478.8,Y,ALCPO2500670
盛玮,3/13,24IM00288,"亮橘色Orange Flare 013-64-47佳积布 54"" 250g",490.4,Y,ALCPO2500670
盛玮,3/5,24IM00291,"柠绿色Solar Lime-R 064-84-51佳积布 54"" 250g",505.6,Y,ALCPO2500670
宏溢/金宏盛,2/18,24MS02007,"白色109-98-01 354纹 280-290g单层网 54""",558.214285714286,Y,ALCPO2500670
柄亿,2/26,24MS02008,"黑色139-18-00 354纹 280-290g单层网 54""",86,Y,ALCPO2500670
