泉州阳硕鞋材有限公司,,,,,,,,,,,,,LGO订单K209/莱卡布/佳积布单价不一样,
2026年01月份大货帐单,,,,,,,,,,,,,,
TO：,莆田市星联鞋业有限公司,,,,,,,,,,,,,
ATTN：,侯先生,CC：,财务,,,,,,币别:人民币,,,,,
日 期,送货单号,客户单号,指令号,料号,品   名,颜色,数量,单位,支数,单价  (RMB),金额(元),备注,,
2025-12-29 00:00:00,XC2512019,4510245496,2X003484,WH000041,"12安帆布54""",棕色,260,码,,12.8,3328,,,
2025-12-29 00:00:00,XC2512019,4510246224,2X003494M,WH000041,"12安帆布54""",棕色,2,码,,12.8,25.6,,,
2025-12-29 00:00:00,XC2512019,,,,小缸费,棕色,1,个,,200,200,,,
2025-12-29 00:00:00,XC2512019,4510239540,2X003441,WD002118,"350G  拉毛四面弹54""",墨青蓝色,161,码,,15,2415,,,
2025-12-29 00:00:00,XC2512019,,,,小缸费,墨青蓝色,1,个,,300,300,,,
2025-12-29 00:00:00,XC2512019,4510246122,2X003489,WB10878,"210D牛津布54""",白色,22,码,,3,66,,,
2025-12-29 00:00:00,XC2512019,4510246243,1X001785,WB10689,"180G佳积布54""",黑色,586,码,,3.9,2285.4,,,
2025-12-29 00:00:00,XC2512020,4510246243,1X001786,WB10687,"180G佳积布54""",白色,563,码,,3.9,2195.7,,,
2025-12-29 00:00:00,XC2512020,4510246243,2X003488,WJ000529,"150G佳积布58""",白色,8,码,,3.6,28.8,,,
2025-12-29 00:00:00,XC2512020,4510246243,2X003491M,WJ000529,"150G佳积布58""",白色,7,码,,3.6,25.2,,,
2025-12-29 00:00:00,XC2512020,4510246376,3X000345M,WJ000529,"150G佳积布58""",白色,15,码,,3.6,54,,,
2025-12-29 00:00:00,XC2512020,4510245027,3X000350M,WJ000300,"150G佳积布54""",黑色,282,码,,3.6,1015.2,,,
2025-12-29 00:00:00,XC2512020,4510246243,2X003485,WJ000530,"150G佳积布58""",黑色,26,码,,3.6,93.6,,,
2025-12-29 00:00:00,XC2512020,4510246243,2X003492M,WJ000530,"150G佳积布58""",黑色,7,码,,3.6,25.2,,,
2026-01-03 00:00:00,XC2601001,4510245027,3X000353C,WD003789,"230G BK网布54""",TAN棕色,524,码,,4.5,2358,,,
2026-01-09 00:00:00,XC2601002,4510245027,3X000353C,WD003789,"230G BK网布54""",TAN棕色,25,码,,4.5,112.5,,,
2026-01-09 00:00:00,XC2601002,4510246829,2X003484,WH000041,"12安帆布54""",棕色,25,码,,12.8,320,,,
2026-01-09 00:00:00,XC2601002,,,,小缸费,棕色,1,个,,200,200,,,
2026-01-09 00:00:00,XC2601002,4510245611,2X003484,WD004249,"220G 鸡皮绒54""",浅棕色,260,码,,15,3900,,,
2026-01-09 00:00:00,XC2601002,4510248326,2X003499,WB7416,"3U180G天鹅绒54""",黑色,1158,码,,5,5790,,,
2026-01-09 00:00:00,XC2601002,4510248874,3X000368M,WS001431,"320G YSD137加厚内里布54""",白色,129,码,,8,1032,,,
2026-01-10 00:00:00,XC2601003,4510248836,3X000375M,WB10878,"210D牛津布54""",白色,2,码,,3,6,,,
2026-01-10 00:00:00,XC2601003,4510249237,2X003513,WB10878,"210D牛津布54""",白色,5,码,,3,15,,,
2026-01-10 00:00:00,XC2601003,4510249237,2X003516,WB11529,"210D尼龙牛津布58""",黑色,2,码,,3,6,,,
2026-01-10 00:00:00,XC2601003,4510248326,2X003499,WB13223,"380G K666单层网布54""",黑色,65,码,,11,715,,,
2026-01-10 00:00:00,XC2601003,4510248874,3X000375M,WB13220,"180G K209网布54""",白色,98,码,,5.9,578.2,,,
2026-01-11 00:00:00,XC2601004,4510249237,2X003505,WB12252,"10安帆布54""",棕色,551,码,,5.8,3195.8,,,
2026-01-11 00:00:00,XC2601004,4510249237,2X003506,WB16877,"8安帆布54""",棕色,66,码,,5.4,356.4,,,
2026-01-11 00:00:00,XC2601004,4510248326,2X003499,WB13223,"380G K666单层网布54""",黑色,697,码,,11,7667,,,
2026-01-11 00:00:00,XC2601004,4510249155,2X003508,WJ000028,"180G佳积布58""",深灰,68,码,,3.9,265.2,,,
2026-01-12 00:00:00,XC2601005,4510246243,1X001786,WD003772,"220G  TANGO SUEDE弹力超纤布54""",08-BEIGE米色,561,码,,15,8415,,,
2026-01-13 00:00:00,XC2601006,4510249237,2X003510,WB6769,"300G 提花天鹅绒54""",白色,201,码,,10,2010,,,
2026-01-13 00:00:00,XC2601006,4510249429,3X000378M,WD001386,"250G低弹平布54""",白色11-0601TPG,11,码,,5.6,61.6,,,
2026-01-13 00:00:00,XC2601006,4510249429,3X000379M,WD001387,"250G低弹平布54""",黑色,1,码,,5.6,5.6,,,
2026-01-13 00:00:00,XC2601006,4510249429,3X000378M,WD001865,"300G 天鹅绒54""",白色,151,码,,9.5,1434.5,,,
2026-01-15 00:00:00,XC2601007,4510249155,2X003504,WJ000026,"180G佳积布58""",黑色,355,码,,3.9,1384.5,,,
2026-01-15 00:00:00,XC2601007,4510249155,2X003506,WJ000025,"180G佳积布58""",棕色,196,码,,3.9,764.4,,,
2026-01-15 00:00:00,XC2601007,4510249582,2X003517M,WJ000025,"180G佳积布58""",棕色,11,码,,3.9,42.9,,,
2026-01-15 00:00:00,XC2601007,,,,小缸费,棕色,1,个,,200,200,,,
2026-01-15 00:00:00,XC2601007,4510249429,3X000379M,WD000952,"230G莱卡布54""",黑色,96,码,,12,1152,,,
2026-01-15 00:00:00,XC2601007,4510249155,2X003505,WJ000029,"180G佳积布58""",深蓝,144,码,,3.9,561.6,,,
2026-01-15 00:00:00,XC2601007,4510249488,2X003518M,WJ000029,"180G佳积布58""",深蓝,11,码,,3.9,42.9,,,
2026-01-15 00:00:00,XC2601007,,,,小缸费,深蓝,1,个,,200,200,,,
2026-01-15 00:00:00,XC2601008,4510249171,2X003515,WB10687,"180G佳积布52""",白色,100,码,,3.9,390,,,
2026-01-15 00:00:00,XC2601008,4510249282,2X003516,WJ000300,"150G佳积布54""",黑色,98,码,,3.6,352.8,,,
2026-01-15 00:00:00,XC2601008,4510249488,2X003519M,WJ000026,"180G佳积布58""",黑色,11,码,,3.9,42.9,,,
2026-01-15 00:00:00,XC2601008,4510249778,3X000380M,WB13219,"180G 黑色K209网布54""",黑色,99,码,,5.9,584.1,,,
2026-01-15 00:00:00,XC2601008,4510249872,3X000383M,WB10878,"白色210D牛津布54""",白色,2,码,,3,6,,,
2026-01-16 00:00:00,XC2601009,4510248874,3X000368M,WS001431,"320GYSD137加厚内里布54""",白色,549,码,,8,4392,,,
2026-01-16 00:00:00,XC2601009,4510249429,3X000376M,WS001431,"320GYSD137加厚内里布54""",白色,125,码,,8,1000,,,
2026-01-16 00:00:00,XC2601009,4510248326,2X003499,WB4780,"230G 11301 POLYPAG II 网布54""",标准黑,568,码,,7.3,4146.4,,,
2026-01-17 00:00:00,XC2601010,,,WD003789,"230G BK网布54""",TAN棕色,10,码,,4.5,45,,,
2026-01-17 00:00:00,XC2601010,4510246243,1X001785,WD003687,"220G TANGO SUEDE弹力超纤布54""",67NAVY深蓝色,561,码,,15,8415,,,
2026-01-17 00:00:00,XC2601010,4510248874,3X000367M,WS001432,"320G YSD137加厚内里布54""",黑色,192,码,,8,1536,,,
2026-01-17 00:00:00,XC2601010,4510249582,2X003517M,WB12252,"10安帆布54""",棕色,36,码,,5.8,208.8,,,
2026-01-17 00:00:00,XC2601010,4510249582,2X003517M,WB16877,"8安帆布54""",棕色,4,码,,5.4,21.6,,,
2026-01-17 00:00:00,XC2601010,,,,小缸费,棕色,1,个,,200,200,,,
2026-01-17 00:00:00,XC2601010,4510248874,3X000375M,WS000407,"380G YD-0731三明治网布上树脂54""",白色,171,码,,18,3078,,,
2026-01-20 00:00:00,XC2601011,4510249282,2X003511,WD004750,"300G提花天鹅绒54""",田园绿色,4,码,,10,40,,,
2026-01-20 00:00:00,XC2601011,,,,小缸费,田园绿色,1,个,,200,200,,,
2026-01-20 00:00:00,XC2601011,4510249282,2X003510,WD004751,"300G提花天鹅绒54""",象牙白色,4,码,,10,40,,,
2026-01-20 00:00:00,XC2601011,,,,小缸费,象牙白色,1,个,,200,200,,,
2026-01-20 00:00:00,XC2601011,4510249282,2X003512,WD004738,"230G K209网布54""",深灰色,58,码,,7.6,440.8,,,
2026-01-20 00:00:00,XC2601011,,,,小缸费,深灰色,1,个,,200,200,,,
2026-01-20 00:00:00,XC2601011,4510249155,2X003508,WJ000028,"180G佳积布58""",深灰,11,码,,3.9,42.9,,,
2026-01-20 00:00:00,XC2601011,,,,小缸费,深灰,1,个,,200,200,,,
2026-01-22 00:00:00,XC2601012,4510249282,2X003510,WD004740,"230G  K209网布54""",象牙白色,71,码,,7.6,539.6,,,
2026-01-22 00:00:00,XC2601012,,,,小缸费,象牙白色,1,个,,200,200,,,
2026-01-22 00:00:00,XC2601012,4510249429,3X000378M,WD004764,"230G莱卡布54""",19-2524TPG深紫色,85,码,,12,1020,,,
2026-01-22 00:00:00,XC2601012,,,,小缸费,19-2524TPG深紫色,1,个,,300,300,,,
2026-01-23 00:00:00,XC2601013,4510250550,3X000387M,WD001386,"250G白色低弹平布54""",白色11-0601TPG,19,码,,5.6,106.4,,,
2026-01-23 00:00:00,XC2601013,4510250550,3X000386M,WD001387,"250G黑色低弹平布54""",黑色,19,码,,5.6,106.4,,,
2026-01-23 00:00:00,XC2601013,4510250205,2X003520,WB10878,"白色210D牛津布54""",白色,1,码,,3,3,,,
2026-01-23 00:00:00,XC2601013,4510250572,2X003520,WB10878,"白色210D牛津布54""",白色,7,码,,3,21,,,
2026-01-23 00:00:00,XC2601013,4510250572,2X003520,WY000085,"黑色210D牛津布54""",黑色,7,码,,3,21,,,
2026-01-23 00:00:00,XC2601013,4510250599,2X003525,WY000085,"黑色210D牛津布54""",黑色,2,码,,3,6,,,
2026-01-23 00:00:00,XC2601013,4510250550,3X000388M,WB6769,"300G 白色提花天鹅绒54""",白色,116,码,,10,1160,,,
2026-01-23 00:00:00,XC2601013,4510248326,2X003499,WD004645,"130G 拿铁色丝光布54""",15-1220TPG拿铁色,2535,码,,4,10140,,,
2026-01-23 00:00:00,XC2601014,4510251467,3X000391M,WD003686,"220G TANGO SUEDE弹力超纤布54""",BLACK黑色,3,码,,15,45,,,
