泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2524787,"Z25102-432-1美
线","佳积布230G54""",黑色139-18-00,22,Y,,,,,AH2601009,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-430,"组织布 54""  250g",白色109-98-01,15,Y,2,,,,AH2601010,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-431,"组织布 54""  250g",白色109-98-01,44,Y,,,,,AH2601010,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25079-408,"组织布 54""  250g",白色109-98-01,102,Y,,,,,AH2601010,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25078-409,"组织布 54""  250g",白色109-98-01,56,Y,,,,,AH2601010,2026-01-05 00:00:00,,,,,,,,
ALCPO2600151,Z25102-430-1,"组织布 54""  250g",白色109-89-01,9,Y,,,,,AH2601010,2026-01-05 00:00:00,95+131=226,,,,,,,
ALCPO2600010,Z24021-041-13,"YSK055纹 单层
网布 54"";;",火红色18-1664TPG,56,Y,1,,,,AH2601010,2026-01-05 00:00:00,,,,,,,,
,,小缸费,火红色18-1664TPG,1,个,,,,,AH2601010,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-429,"佳积布230G 54""",黑色,138,Y,2,,,,AH2601011,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-428,"佳积布230G 54""",黑色,138,Y,,,,,AH2601011,2026-01-05 00:00:00,193+86=276,,,,,,,
ALCPO2524787,Z25102-428,"小椭圆三明治网布 54""",黑色139-18-00,138,Y,4,,,,AH2601011,2026-01-05 00:00:00,,,,,,,,
ALCPO2524787,Z25102-429,"小椭圆三明治网布 54""",黑色139-18-00,138,Y,,,,,AH2601011,2026-01-05 00:00:00,4*70=280(多4Y),,,,,,,
ALCPO2600010,Z24021-042-12,"YSK055纹 单层
网布 54"";;",海藻蓝19-4024TPG,78,Y,2,,,,AH2601011,2026-01-05 00:00:00,,,,,,,,
48+30=78,,小缸费,海藻蓝19-4024TPG,1,个,,,,,AH2601011,2026-01-05 00:00:00,,,,,,,,
ALCPO2600010,Z25057-263-4,"200g 小米通布 54"";;",火红色18-1664TPG,34,Y,1,,,,AH2601012,2026-01-05 00:00:00,,,,,,,,
ALCPO2600010,Z25057-264-5,"200g 小米通布 54"";;",海藻蓝19-4024TPG,21,Y,1,,,,AH2601012,2026-01-05 00:00:00,,,,,,,,
ALCPO2600010,Z24021-042-12,"200g 小米通布 54"";;",海藻蓝19-4024TPG,24,Y,,,,,AH2601012,2026-01-05 00:00:00,,,,,,,,
,,小缸费,海藻蓝19-4024TPG,1,个,,,,,AH2601012,2026-01-05 00:00:00,,,,,,,,
,Z25075-222-3,"240g DJ132 POLYPAG 单层网布 54""",白色109-98-01,20,码,1,,,,AH2601013,2026-01-05 00:00:00,,,,,,,,
,Z25075-223-4,"240g DJ132 POLYPAG 单层网布 54""",白色109-98-01,24,码,,,,,AH2601013,2026-01-05 00:00:00,,,,,,,,
,Z25075-222-4,"240g DJ132 POLYPAG 单层网布 54""",白色109-98-01,19,码,,,,,AH2601013,2026-01-05 00:00:00,,,,,,,,
,Z25075-223-5,"240g DJ132 POLYPAG 单层网布 54""",白色109-98-01,19,码,,,,,AH2601013,2026-01-05 00:00:00,,,,,,,,
,Z25075-222-5,"240g DJ132 POLYPAG 单层网布 54""",白色109-98-01,11,码,,,,,AH2601013,2026-01-05 00:00:00,,,,,,,,
,Z25075-223-6,"240g DJ132 POLYPAG 单层网布 54""",白色109-98-01,11,码,,,,,AH2601013,2026-01-05 00:00:00,,,,,,,,
,Z25072-210-9,"佳积布 54""250g",黑色139-18-00,923,Y,20,,,,AH2601014,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-410,"佳积布 54""250g",黑色139-18-00,274,Y,,,,,AH2601014,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-411-1,"佳积布 54""250g",黑色139-18-00,77,Y,,,,,AH2601014,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-411-2,"佳积布 54""250g",黑色139-18-00,63,Y,,,,,AH2601014,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416-2,"佳积布 54""250g",黑色139-18-00,95,Y,,,,,AH2601014,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416,"佳积布 54""250g",黑色139-18-00,488,Y,,,,,AH2601014,2026-01-06 00:00:00,99+95*11+98*4+96*4=1920,,,,,,,
ALCPO2524787,Z25072-421,"250g 佳积布54""",白色,172,Y,4,,,,AH2601015,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-420,"250g 佳积布54""",白色,181,Y,,,,,AH2601015,2026-01-06 00:00:00,98*3+59=353,,,,,,,
ALCPO2524787,Z25072-420,"250g 佳积布54""",白色109-98-01,139,Y,4,,,,AH2601015,2026-01-06 00:00:00,,,,,,,,
ALCPO2524787,Z25072-421,"250g 佳积布54""",白色109-98-01,126,Y,,,,,AH2601015,2026-01-06 00:00:00,,,,,,,,
