泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2600507,Z25072-411-4,"D027纹 250-260g单层网布 54""",灰色000-47-00,31,Y,,,,,AH2601074,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-416-3,"D027纹 250-260g单层网布 54""",灰色000-47-00,285,Y,,,,,AH2601074,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-418-2,"D027纹 250-260g单层网布 54""",灰色000-47-00,60,Y,,,,,AH2601074,2026-01-21 00:00:00,100*12=1200,,,,,,,
ALCPO2524787,Z25072-410-1,"佳积布 54""250g",黑色139-18-00,131,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-411,"佳积布 54""250g",黑色139-18-00,98,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-416-1,"佳积布 54""250g",黑色139-18-00,126,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2524787,Z25072-419,"佳积布 54""250g",黑色139-18-00,204,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2600475,Z25072-207-12,"佳积布 54""250g",黑色139-18-00,284,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-410-2,"佳积布 54""250g",黑色139-18-00,789,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-410-3,"佳积布 54""250g",黑色139-18-00,230,Y,,,,,AH2601075,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-411-3,"佳积布 54""250g",黑色139-18-00,553,Y,,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-411-4,"佳积布 54""250g",黑色139-18-00,59,Y,,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-416-3,"佳积布 54""250g",黑色139-18-00,1213,Y,,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-419-1,"佳积布 54""250g",黑色139-18-00,85,Y,36,,,,AH2601076,2026-01-21 00:00:00,104*10+103+106*9+105*12+99+107*2+102=3772,,,,,,,
ALCPO2600169,Z25109-380,"YS-2001 300g单层网布 54""",餐厅棕19-0820TPG,91,Y,1,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
,,小缸费,餐厅棕19-0820TPG,1,个,,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"佳积布 54""250g",表情粉154-77-21,90,Y,1,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-2,"佳积布 54""250g",表情粉154-77-21,27,Y,,,,,AH2601076,2026-01-21 00:00:00,,,,,,,,
ALCPO2600624,Z25073-462,"354纹 280-290g单层网 54""",白色109-98-01,69,Y,2,,,,AH2601077,2026-01-21 00:00:00,,,,,,,,
ALCPO2600624,Z25073-463,"354纹 280-290g单层网布 54""",白色109-98-01,33,Y,,,,,AH2601077,2026-01-21 00:00:00,,,,,,,,
ALCPO2600624,Z25073-463-1,"354纹 280-290g单层网布 54""",白色109-98-01,23,Y,,,,,AH2601077,2026-01-21 00:00:00,,,,,,,,
ALCPO2601138,Z25073-211-8,"354纹 280-290g单层网 54""",白色109-98-01,31,Y,,,,,AH2601077,2026-01-21 00:00:00,,,,,,,,
ALCPO2601138,Z25073-463-3,"354纹 280-290g单层网布 54""",白色109-98-01,21,Y,,,,,AH2601077,2026-01-21 00:00:00,100+77=177,,,,,,,
ALCPO2600624,Z25117-464,"YHM354 单层网布54"" 耐黄",白色109-98-01,94,Y,2,,,,AH2601077,2026-01-21 00:00:00,,,,,,,,
ALCPO2600624,Z25117-464-1,"YHM354 单层网布54"" 耐黄",白色109-98-01,29,Y,,,,,AH2601077,2026-01-21 00:00:00,100+23=123,,,,,,,
ALCPO2600507,Z25076-226-3,"WX-018 260g 毛巾布 54""",黑色139-18-00,7,Y,1,,,,AH2601078,2026-01-21 00:00:00,,,,,,,,
ALCPO2600507,Z25076-226-2,"WX-018 260g 毛巾布 54""",黑色139-18-00,14,Y,,,,,AH2601078,2026-01-21 00:00:00,,,,,,,,
ALCPO2601138,Z25076-226-4,"WX-018 260g 毛巾布 54""",黑色139-18-00,29,Y,,,,,AH2601078,2026-01-21 00:00:00,,,,,,,,
ALCPO2601138,Z24109-516-11,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,9,Y,1,,,,AH2601078,2026-01-21 00:00:00,,,,,,,,
ALCPO2600166,Z25070-373,"200g 佳积布54""",绿夹克19-6027TPG,206,Y,2,,,110+96=206,AH2601079,2026-01-22 00:00:00,,,,,,,,
,,小缸费,绿夹克19-6027TPG,1,个,,,,,AH2601079,2026-01-22 00:00:00,,,,,,,,
ALCPO2600624,Z25072-455,"佳积布 54""250g",米黄038-90-04,113,Y,2,,,100*2=200Y,AH2601079,2026-01-22 00:00:00,,,,,,,,
ALCPO2600624,Z25072-455-1,"佳积布 54""250g",米黄038-90-04,84,Y,,,,,AH2601079,2026-01-22 00:00:00,,,,,,,,
ALCPO2600507,Z25072-410-3,"D027纹 250-260g 单层网布 54""",柠绿色064-84-51,37,Y,1,,,,AH2601079,2026-01-22 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-1,"D027纹 250-260g 单层网布 54""",宁静蓝123-79-06,20,Y,1,,,,AH2601079,2026-01-22 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-2,"D027纹 250-260g 单层网布 54""",宁静蓝123-79-06,27,Y,,,,,AH2601079,2026-01-22 00:00:00,,,,,,,,
ALCPO2524787,Z25072-412,"D027纹 250-260g 单层网布 54""",胜利红009-39-36,160,Y,4,,,,AH2601080,2026-01-22 00:00:00,,,,,,,,
ALCPO2524787,Z25072-412-1,"D027纹 250-260g 单层网布 54""",胜利红009-39-36,20,Y,,,,,AH2601080,2026-01-22 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-2,"D027纹 250-260g 单层网布 54""",胜利红009-39-36,65,Y,,,,,AH2601080,2026-01-22 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-3,"D027纹 250-260g 单层网布 54""",胜利红009-39-36,38,Y,,,,,AH2601080,2026-01-22 00:00:00,,,,,,,,
ALCPO2601138,Z25072-412-5,"D027纹 250-260g 单层网布 54""",胜利红009-39-36,78,Y,,,,,AH2601080,2026-01-22 00:00:00,114+104+70+73=361,,,,,,,
ALCPO2600624,Z25086-450,"K106/DJT 1834纹单层网布54""",白色109-98-01,693,Y,10,,,,AH2601081,2026-01-22 00:00:00,,,,,,,,
ALCPO2600624,Z25086-450-1,"K106/DJT 1834纹单层网布54""",白色109-98-01,125,Y,,,,,AH2601081,2026-01-22 00:00:00,,,,,,,,
ALCPO2600624,Z25073-462,"K106/DJT 1834纹单层网布54""",白色109-98-01,322,Y,,,,,AH2601081,2026-01-22 00:00:00,,,,,,,,
ALCPO2601138,Z25073-211-8,"K106/DJT 1834纹单层网布54""",白色109-98-01,109,Y,,,,,AH2601081,2026-01-22 00:00:00,6*124+138*2+114+118=1252,,,,,,,
ALCPO2601138,Z25076-226-4,"组织布 250g54""",黑色139-18-00,13,Y,1,,,,AH2601082,2026-01-23 00:00:00,,,,,,,,
ALCPO2601138,Z25076-226-4,"丝光布 54"" 120g",黑色,40,Y,1,,,,AH2601082,2026-01-23 00:00:00,,,,,,,,
ALCPO2524787,Z25113-404,"YS-028 三明治网54""",黑色139-18-00,17,Y,1,,,,AH2601082,2026-01-23 00:00:00,,,,,,,,
ALCPO2601138,Z25115-452,"YS-028 三明治网54""",黑色139-18-00,17,Y,,,,,AH2601082,2026-01-23 00:00:00,,,,,,,,
ALCPO2601138,Z25116-443,"YS-028 三明治网54""",黑色139-18-00,9,Y,,,,,AH2601082,2026-01-23 00:00:00,,,,,,,,
ALCPO2601138,Z25115-442,"YS-028 三明治网54""",黑色139-18-00,8,Y,,,,,AH2601082,2026-01-23 00:00:00,,,,,,,,
ALCPO2600507,Z25072-415-2,"D027纹250-260g单层网布54""",幻影紫142-24-12,80,Y,1,,,,AH2601083,2026-01-23 00:00:00,,,,,,,,
ALCPO2600507,Z25072-418-2,"佳积布 54""250g",传统绿059-40-11,115,Y,1,,,,AH2601083,2026-01-23 00:00:00,,,,,,,,
ALCPO2600507,Z25072-415-2,"佳积布 54""250g",幻影紫142-24-12,98,Y,1,,,,AH2601083,2026-01-23 00:00:00,,,,,,,,
ALCPO2600507,Z25072-414-2,"佳积布 54""250g",新灰色031-78-00,25,Y,1,,,,AH2601083,2026-01-23 00:00:00,,,,,,,,
AHJPO2604277,Z25655-6,"354纹280-290g单层网54""",黑色139-18-00,153,Y,2,,,100+53=153,AH2601083,2026-01-23 00:00:00,发错给安健了，等退回发给安恒,,,,,,,
ALCPO2600507,Z25072-413-1,"D027纹 250-260g单层网布 54""",传统蓝126-34-11,27,Y,1,,,,AH2601083,2026-01-23 00:00:00,,,,,,,,
ALCPO2600507,Z25072-413-2,"D027纹 250-260g单层网布 54""",传统蓝126-34-11,27,Y,,,,,AH2601083,2026-01-23 00:00:00,,,,,,,,
ALCPO2601885,Z26002-007,"210D 牛津布 54""",黑色,15,Y,1,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2601885,Z26002-006,"210D 牛津布 54""",黑色,6,Y,,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2601885,Z26002-005,"210D 牛津布 54""",黑色,6,Y,,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2601885,Z26002-004,"210D 牛津布 54""",黑色,9,Y,,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2601138,Z25116-443,"200G BK网布54""",黑色139-18-00,19,Y,1,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2601138,Z25115-442,"200G BK网布54""",黑色139-18-00,17,Y,,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2601138,Z25115-452,"200G BK网布54""",黑色139-18-00,38,Y,,,,,AH2601084,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25086-451,"K106/DJT 1834纹单层网布54""",海盐色036-90-02,535,Y,5,,,,AH2601084,2026-01-25 00:00:00,120*4+55=535,,,,,,,
ALCPO2600718,Z25058-393,"TF18-Q08 220g 磨毛布54""",白色,169,Y,6,,,,AH2601085,2026-01-25 00:00:00,,,,,,,,
ALCPO2600718,Z25058-394,"TF18-Q08 220g 磨毛布54""",白色,253,Y,,,,,AH2601085,2026-01-25 00:00:00,,,,,,,,
ALCPO2600718,Z25058-395,"TF18-Q08 220g 磨毛布54""",白色,158,Y,,,,,AH2601085,2026-01-25 00:00:00,100*5+80=580,,,,,,,
ALCPO2600166,Z25070-375,"200g 佳积布54""",米土色12-0311TPG,301,Y,3,,,114*2+73=301,AH2601085,2026-01-25 00:00:00,,,,,,,,
ALCPO2600475,Z25073-213-5,"K106 230-250g 单层网布 54""",海盐色036-90-02,177,Y,7,,,,AH2601085,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25073-461,"K106 230-250g 单层网布 54""",海盐色036-90-02,192,Y,,,,,AH2601085,2026-01-25 00:00:00,,,,,,,,
ALCPO2601138,Z25073-213-6,"K106 230-250g 单层网布 54""",海盐色036-90-02,225,Y,,,,,AH2601085,2026-01-25 00:00:00,95*6+24=594,,,,,,,
ALCPO2600624,Z25073-453,"354纹280-290g单层网 54""",海盐色036-90-02,224,Y,8,,,,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25073-458-1,"354纹280-290g单层网 54""",海盐色036-90-02,128,Y,,,,,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25073-459,"354纹280-290g单层网 54""",海盐色036-90-02,83,Y,,,,,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25073-459-1,"354纹280-290g单层网 54""",海盐色036-90-02,78,Y,,,,,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25073-461,"354纹280-290g单层网 54""",海盐色036-90-02,117,Y,,,,,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2601138,Z25073-453-3,"354纹280-290g单层网 54""",海盐色036-90-02,83,Y,,,,,AH2601086,2026-01-25 00:00:00,100*7+13=713,,,,,,,
ALCPO2601994,Z25101-344,"CL24154纹430g 三明治54""",灰色000-36-00,7,码,1,,,,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25086-451,"BK网布 54""200g",米白色036-90-02,287,Y,3,,,120*2+47=287,AH2601086,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25073-461,"K106 230-250g单层网布 54""",运动蓝117-31-18,361,Y,4,,,93*2+88*2=362,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2600507,Z25072-414-2,"D027纹250-260g单层网布54""",新灰色031-78-00,78,Y,1,,,,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25078-446,"YH M 354纹280-290g单层网布54""",米白036-90-02,78,Y,2,,,,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25078-446-1,"YH M 354纹280-290g单层网布54""",米白036-90-02,7,Y,,,,,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25079-448,"YH M 354纹280-290g单层网布54""",米白036-90-02,22,Y,,,,100+92=192,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25078-465,"YH M 354纹280-290g单层网布54""",米白036-90-02,66,Y,,,,,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2600624,Z25078-465-1,"YH M 354纹280-290g单层网布54""",米白036-90-02,7,Y,,,,,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2601138,Z25078-465-2,"YH M 354纹280-290g单层网布54""",米白036-90-02,12,Y,,,,,AH2601087,2026-01-25 00:00:00,,,,,,,,
ALCPO2601922,Z25086-466,"250g 加密真美布54""",黑色139-18-00,146,Y,2,,,85+61=146,AH2601088,2026-01-26 00:00:00,,,,,,,,
ALCPO2601749,Z26003-010,"250g 莱卡布54""",黑色19-0303TPG,617,Y,6,,,120*5+17=617,AH2601088,2026-01-26 00:00:00,,,,,,,,
ALCPO2601138,Z25073-460,"K106/DJT 1834纹单层网布 54""",黑色139-18-00,114,Y,3,,,,AH2601088,2026-01-26 00:00:00,,,,,,,,
ALCPO2601922,Z25086-466,"K106/DJT 1834纹单层网布 54""",黑色139-18-00,271,Y,,,,,AH2601088,2026-01-26 00:00:00,130*3=390,,,,,,,
ALCPO2601941,Z25033-108-1,"佳绩布 54"" 120g",黑色,229,Y,4,,,,AH2601088,2026-01-26 00:00:00,,,,,,,,
ALCPO2601941,Z25033-109-1,"佳绩布 54"" 120g",黑色,428,Y,,,,,AH2601088,2026-01-26 00:00:00,200+190+180+87=657,,,,,,,
ALCPO2600507,Z25072-419-1,"佳积布 54""250g",黑色139-18-00,6,Y,17,,,,AH2601089,2026-01-26 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-11,"佳积布 54""250g",黑色139-18-00,1242,Y,,,,,AH2601089,2026-01-26 00:00:00,,,,,,,,
ALCPO2600507,Z25072-210-12,"佳积布 54""250g",黑色139-18-00,230,Y,,,,,AH2601089,2026-01-26 00:00:00,,,,,,,,
ALCPO2600624,Z25072-454,"佳积布 54""250g",139-18-00黑色,87,Y,,,,,AH2601089,2026-01-26 00:00:00,105*3+106*7+107*3+102+103+104+49=1736,,,,,,,
ALCPO2601941,Z25072-411,"佳积布 54""250g",黑色,171,Y,,,,,AH2601089,2026-01-26 00:00:00,,,,,,,,
ALCPO2600624,Z25072-455,"佳积布 54""250g",淡红色016-50-19,47,Y,1,,,,AH2601090,2026-01-27 00:00:00,,,,,,,,
ALCPO2600624,Z25072-455-1,"佳积布 54""250g",淡红色016-50-19,39,Y,,,,,AH2601090,2026-01-27 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-2,"佳积布 54"" 250g",蓝色126-21-11,194,Y,6,,,,AH2601090,2026-01-27 00:00:00,,,,,,,,
ALCPO2600507,Z25072-412-3,"佳积布 54"" 250g",蓝色126-21-11,136,Y,,,,,AH2601090,2026-01-27 00:00:00,,,,,,,,
ALCPO2601138,Z25072-412-5,"佳积布 54"" 250g",蓝色126-21-11,274,Y,,,,,AH2601090,2026-01-27 00:00:00,104*3+2*103+86=604,,,,,,,
ALCPO2600624,Z25075-445,"250g 组织布54""",海盐色036-90-02,111,Y,3,,,,AH2601091,2026-01-27 00:00:00,,,,,,,,
ALCPO2600624,Z25075-445-1,"250g 组织布54""",海盐色036-90-02,33,Y,,,,,AH2601091,2026-01-27 00:00:00,,,,,,,,
ALCPO2600624,Z25076-457,"250g 组织布54""",海盐色036-90-02,97,Y,,,,,AH2601091,2026-01-27 00:00:00,103+100+38=241,,,,,,,
ALCPO2601885,Z26002-007,"YSK133纹 220g 单层网布54""",黑色,37,Y,1,,,,AH2601091,2026-01-27 00:00:00,,,,,,,,
ALCPO2601885,Z26002-005,"YSK133纹 220g 单层网布54""",黑色,14,Y,,,,,AH2601091,2026-01-27 00:00:00,,,,,,,,
ALCPO2601885,Z26002-004,"YSK133纹 220g 单层网布54""",黑色,21,Y,,,,,AH2601091,2026-01-27 00:00:00,,,,,,,,
ALCPO2603695,Z25015-401,"新K208 网布 54"" 260""",白色,10,Y,1,,,,AH2601091,2026-01-27 00:00:00,,,,,,,,
销样,ZRD26001-006,"D027纹 250-260g 单层网布 54""",黑色139-18-00,1,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-004,"D027纹 250-260g 单层网布 54""",黑色139-18-00,4,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-003,"D027纹 250-260g 单层网布 54""",白色109-98-01,1,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-008,"D027纹 250-260g 单层网布 54""",白色109-98-01,1,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-002,"D027纹 250-260g 单层网布 54""",白色109-98-01,1,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-005,"D027纹 250-260g 单层网布 54""",白色109-98-01,3,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-003,"佳积布180G 54""",黑色,1,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-005,"佳积布250G 54""",白色,3,Y,,,,,AH2601092,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-008,"250g 佳积布 54""",白色109-98-01,1,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-005,"250g 佳积布 54""",白色109-98-01,3,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-003,"250g 佳积布 54""",白色109-98-01,1,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-002,"250g 佳积布 54""",白色109-98-01,1,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-003,"250g 佳积布 54""",黑色139-18-00,1,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-007,"250g 佳积布 54""",黑色139-18-00,5,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-006,"250g 佳积布 54""",黑色139-18-00,2,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-004,"250g 佳积布 54""",黑色139-18-00,8,Y,,,,,AH2601093,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-002,"佳积布 54"" 250g",浅淡灰000-73-00,2,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-001,"佳积布 54"" 250g",灰色 000-27-00,3,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-008,"佳积布 54"" 250g",灰色 000-27-00,2,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-007,"佳积布 54"" 250g",竹桃粉156-44-34,2,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26001-001,"佳积布 54"" 250g",复位红013-43-37,1,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-013,"354纹 280-290g 单层网 54""",白色109-98-01,2,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-022,"354纹 280-290g 单层网 54""",白色109-98-01,1,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-011,"354纹 280-290g 单层网 54""",白色109-98-01,2,Y,,,,,AH2601094,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-021,"354纹 280-290g 单层网 54""",白色109-98-01,1,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-020,"354纹 280-290g 单层网 54""",白色109-98-01,1,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-019,"354纹 280-290g 单层网 54""",白色109-98-01,1,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-012,"280-290g 354纹 单层网布 54""",海盐色036-90-02,3,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-009,"280-290g 354纹 单层网布 54""",海盐色036-90-02,2,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-010,"280-290g 354纹 单层网布 54""",海盐色036-90-02,3,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-016,"280-290g 354纹 单层网布 54""",海盐色036-90-02,3,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-041,"YHM 354 单层网布 54""",海盐色036-90-02,1,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-047,"YHM 354 单层网布 54""",海盐色036-90-02,1,Y,,,,,AH2601095,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-023,"280-290g 354纹 单层网布 54""",柔灰047-82-01,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26002-014,"280-290g 354纹 单层网布 54""",暗黑色139-18-00,2,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-042,"YHM 354 单层网布 54""",运动蓝117-31-18,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-046,"YHM 354 单层网布 54""",运动蓝117-31-18,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-043,"YHM 354 单层网布 54""",复古粉笔白038-90-04,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-048,"YHM 354 单层网布 54""",复古粉笔白038-90-04,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-041,组织布 250g 54“,米白色036-90-02,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-047,组织布 250g 54“,海盐色036-90-02,1,Y,,,,,AH2601096,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-042,组织布 54”,运动蓝117-31-18,1,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-046,组织布 54”,运动蓝117-31-18,1,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-038,200g  组织布 54”,新灰1 031-78-00,2,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-037,200g  组织布 54”,新灰1 031-78-00,2,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-039,200g  组织布 54”,水晶粉156-82-15,2,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-040,200g  组织布 54”,水晶粉156-82-15,2,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26007-043,组织布 54”,复古粉笔白038-90-04,1,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26006-048,组织布 54”,复古粉笔白038-90-04,1,Y,,,,,AH2601097,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-036,"200G BK网布 54""",黑色139-18-00,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-035,"200G BK网布 54""",黑色139-18-00,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-026,"200G BK网布 54""",黑色139-18-00,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-029,"BK 网布 54""",矢量蓝118-30-29,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-032,"BK 网布 54""",矢量蓝118-30-29,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-025,"BK 网布 54""",矢量蓝118-30-29,2,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-028,"BK 网布 54""",竹桃粉156-44-34,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-031,"BK 网布 54""",竹桃粉156-44-34,2,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-033,"BK 网布 54""",竹桃粉156-44-34,1,Y,,,,,AH2601098,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-030,"BK 网布 54""",湖绿色086-78-13,1,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-034,"BK 网布 54""",湖绿色086-78-13,1,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-027,"BK 网布 54""",湖绿色086-78-13,2,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-036,"250g 莱卡布 54""",黑色 139-18-00,2,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-035,"250g 莱卡布 54""",黑色 139-18-00,1,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-026,"250g 莱卡布 54""",黑色 139-18-00,3,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26005-032,"250g 莱卡布 54""",蓝色 118-30-29,3,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-029,"250g 莱卡布 54""",蓝色 118-30-29,4,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-025,"250g 莱卡布 54""",蓝色 118-30-29,6,Y,,,,,AH2601099,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26004-031,"250g 莱卡网布 54""",竹桃粉156-44-34,5,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
销样,ZRD26003-028,"250g 莱卡网布 54""",竹桃粉156-44-34,5,Y,,,,,AH2601100,2026-01-28 00:00:00,,,,,,,,
