泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份请款明细,,,,,,,,,,,,,,,
TO：,安迪星（福建）体育用品有限责任公司,,,,,,,,,,,,,,
ATTN：高小姐,,,,,,,,,,,币别:人民币,,,,
日 期,送货单号,订单号,指令,型体,物料编号,刀模,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注
2026-01-12 00:00:00,FLDH260117,PA251227026,K250053,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,16.3,码,,6.8,,110.84,
2026-01-12 00:00:00,FLDH260117,PA251227026,K250054,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,4.2,码,,6.8,,28.56,
2026-01-12 00:00:00,FLDH260118,PA251227026,K250055,382M33W-A00,C0503935,AS26005M,"K328单层网布240g 54""",黑色19-4006TPG,31.2,码,,6.8,,212.16,
2026-01-12 00:00:00,FLDH260118,PA251227026,K250060,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,40.6,码,,6.8,,276.08,
2026-01-12 00:00:00,FLDH260118,PA251227026,K250061,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,17.8,码,,6.8,,121.04,
2026-01-12 00:00:00,FLDH260118,PA251227026,K250062,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,17.9,码,,6.8,,121.72,
2026-01-12 00:00:00,FLDH260118,PA251227026,K250063,382M3BW-A00,C0503935,AS26006K,"K328单层网布240g 54""",黑色19-4006TPG,34.3,码,,6.8,,233.24,
2026-01-12 00:00:00,FLDH260119,PA251227026,K250069,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,8,码,,6.8,,54.4,
2026-01-12 00:00:00,FLDH260119,PA251227026,K250070,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,13.7,码,,6.8,,93.16,
2026-01-12 00:00:00,FLDH260119,PA251227026,K250071,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,14.7,码,,6.8,,99.96,
2026-01-12 00:00:00,FLDH260119,PA251227026,K250072,382M32W-A00,C0503935,AS26006M,"K328单层网布240g 54""",黑色19-4006TPG,31.2,码,,6.8,,212.16,
2026-01-12 00:00:00,FLDH260119,PA251227026,K250077,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,79.1,码,,6.8,,537.88,
2026-01-12 00:00:00,FLDH260120,PA251227026,K250078,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,5.4,码,,6.8,,36.72,
2026-01-12 00:00:00,FLDH260120,PA251227026,K250079,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,5.1,码,,6.8,,34.68,
2026-01-12 00:00:00,FLDH260120,PA251227026,K250080,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,12.8,码,,6.8,,87.04,
2026-01-12 00:00:00,FLDH260120,PA251227026,K250080,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260121,PA251227027,PPS0023,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260121,PA251227027,PPS0025,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260121,PA251227027,PPS0027,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260121,PA251227027,PPS0029,382M38W-A02,C0504096,AS26005K-1,"K328单层网布240g 54""",金色14-1110TPG,0.3,码,,6.8,,2.04,
2026-01-12 00:00:00,FLDH260121,PA251227027,PPS0032,382M3BW-A02,C0504096,AS26006K,"K328单层网布240g 54""",金色14-1110TPG,0.8,码,,6.8,,5.44,
2026-01-12 00:00:00,FLDH260121,PA251227026,K250016,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,17.6,码,,6.8,,119.68,
2026-01-12 00:00:00,FLDH260121,PA251227026,K250017,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,39.5,码,,6.8,,268.6,
2026-01-12 00:00:00,FLDH260121,PA251227026,K250018,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,122,码,,6.8,,829.6,
2026-01-12 00:00:00,FLDH260122,PA251227026,K250019,382M35W-A02,C0504096,AS26004K,"K328单层网布240g 54""",金色14-1110TPG,22.4,码,,6.8,,152.32,
2026-01-12 00:00:00,FLDH260122,PA251227026,K250022,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,40.3,码,,6.8,,274.04,
2026-01-12 00:00:00,FLDH260122,PA251227026,K250023,382M36W-A02,C0504096,AS26004K-1,"K328单层网布240g 54""",金色14-1110TPG,4.6,码,,6.8,,31.28,
2026-01-12 00:00:00,FLDH260122,PA251227026,K250042,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,17.9,码,,6.8,,121.72,
2026-01-12 00:00:00,FLDH260122,PA251227026,K250043,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,20.6,码,,6.8,,140.08,
2026-01-12 00:00:00,FLDH260123,PA251227026,K250044,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,5.3,码,,6.8,,36.04,
2026-01-12 00:00:00,FLDH260123,PA251227026,K250045,382M37W-A02,C0504096,AS26005K,"K328单层网布240g 54""",金色14-1110TPG,34.3,码,,6.8,,233.24,
