泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
489,2026-01-20 00:00:00,AH2601078,AHJPO2601437,ZY26205-1,佳积布,"180g 54""",白色,全代,123,Y,3.9,,479.7,
490,2026-01-20 00:00:00,AH2601078,AHJPO2607520,ZY25962-2,佳积布,"180g 54""",白色,全代,10,Y,3.9,,39,
491,2026-01-20 00:00:00,AH2601078,AHJPO2601821,Z26164-2,D027纹单层网布,"250-260g 54""",海蓝099-73-02,全代,10,Y,6.3,,63,
492,2026-01-20 00:00:00,AH2601079,AHJPO2601821,Z26178-3,DJT-1834 单层网布,"54 """,黑色,全代,48,Y,4.3,,206.4,
493,2026-01-20 00:00:00,AH2601079,AHJPO2601821,Z26178-4,DJT-1834 单层网布,"54 """,黑色,全代,83,Y,4.3,,356.9,
494,2026-01-20 00:00:00,AH2601079,AHJPO2601821,Z25653-4,DJT-1834 单层网布,"54 """,黑色,全代,201,Y,4.3,,864.3,
495,2026-01-20 00:00:00,AH2601079,AHJPO2601821,Z25655-4,DJT-1834 单层网布,"54 """,黑色,全代,309,Y,4.3,,1328.7,
496,2026-01-20 00:00:00,AH2601079,AHJPO2601821,Z25655-5,DJT-1834 单层网布,"54 """,黑色,全代,501,Y,4.3,,2154.3,
497,2026-01-20 00:00:00,AH2601079,AHJPO2604277,Z25655-6,DJT-1834 单层网布,"54 """,黑色,全代,365,Y,4.3,,1569.5,
498,2026-01-20 00:00:00,AH2601080,AHJPO2604277,Z25612-13,K106/DJT 1834 FLECK TEX纹 单层网布,"54 """,黑色139-18-00,全代,173,Y,4.3,,743.9,
499,2026-01-20 00:00:00,AH2601080,AHJPO2601821,Z26093-4,镂空圆孔YS0391纹 单层网布,"310-320g *54""",白色109-98-01,全代,316,Y,9.8,,3096.8,
500,2026-01-20 00:00:00,AH2601080,AHJPO2601821,Z26094-3,镂空圆孔YS0391纹 单层网布,"310-320g *54""",白色109-98-01,全代,294,Y,9.8,,2881.2,
501,2026-01-20 00:00:00,AH2601080,AHJPO2603103,ZY26297-1,K106 单层网布,"230-250g 54""",黑色139-18-00,全代,162,Y,4.7,,761.4,
502,2026-01-20 00:00:00,AH2601080,AHJPO2603103,ZY26297-1open,K106 单层网布,"230-250g 54""",黑色139-18-00,全代,9,Y,4.7,,42.3,
503,2026-01-20 00:00:00,AH2601081,AHJPO2603689,Z25268-3,DH1503小圆点 网布,"54 """,玫红806U,全代,2,Y,21,,42,
504,2026-01-20 00:00:00,AH2601081,AHJPO2603689,Z25268-3open,DH1503小圆点 网布,"54 """,玫红806U,全代,1,Y,21,300,321,
505,2026-01-21 00:00:00,AH2601082,AHJPO2601890,Z26140-2,CL24121  三明治网布,"430g  54""",蓝色ADWW,全代,152,Y,13.5,,2052,
506,2026-01-21 00:00:00,AH2601082,AHJPO2604146,Z26305-1,CL24121  三明治网布,"430g  54""",蓝色ADWW,全代,50,Y,13.5,,675,
507,2026-01-21 00:00:00,AH2601082,AHJPO2604277,Z25032-11,K208 BK网布,"240g 54""",白色109-98-01,全代,23,Y,5.5,,126.5,
508,2026-01-21 00:00:00,AH2601082,AHJPO2607520,ZY25962-2,佳积布  耐黄,"180g 54""",白色,全代,12,码,3.9,,46.8,
509,2026-01-21 00:00:00,AH2601082,AHJPO2607520,ZY25962-3,佳积布  耐黄,"180g 54""",白色,全代,31,码,3.9,,120.9,
510,2026-01-21 00:00:00,AH2601082,AHJPO2604277,Z25606-12,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,14,Y,9,,126,
511,2026-01-21 00:00:00,AH2601082,AHJPO2604277,Z25608-9,354纹  单层网 耐黄,"280-290g  54""",白色109-98-01,全代,18,Y,9,,162,
512,2026-01-21 00:00:00,AH2601083,AHJPO2601437,ZY26206-1,YHM 354 单层网布 耐黄,"54 """,白色109-98-01,全代,42,Y,9,,378,
513,2026-01-21 00:00:00,AH2601083,AHJPO2601821,Z25001-18,XF8021纹 三明治网布,"350*54""",黑色139-18-00,全代,532,Y,9.5,,5054,
514,2026-01-21 00:00:00,AH2601083,AHJPO2601821,Z25001-19,XF8021纹 三明治网布,"350*54""",黑色139-18-00,全代,621,Y,9.5,,5899.5,
515,2026-01-21 00:00:00,AH2601083,AHJPO2601821,Z25002-20,XF8021纹 三明治网布,"350*54""",黑色139-18-00,全代,621,Y,9.5,,5899.5,
516,2026-01-21 00:00:00,AH2601083,AHJPO2601821,Z25002-21,XF8021纹 三明治网布,"350*54""",黑色139-18-00,全代,199,Y,9.5,,1890.5,
517,2026-01-21 00:00:00,AH2601083,AHJPO2601821,Z25006-13,XF8021纹 三明治网布,"350*54""",黑色139-18-00,全代,205,Y,9.5,,1947.5,
518,2026-01-21 00:00:00,AH2601084,AHJPO2601821,Z25017-20,镂空圆孔YS0391纹 单层网布,"310-320g *54""",黑色139-18-00,全代,205,Y,9.8,,2009,
519,2026-01-21 00:00:00,AH2601084,AHJPO2601821,Z25548-14,镂空圆孔YS0391纹 单层网布,"310-320g *54""",黑色139-18-00,全代,541,Y,9.8,,5301.8,
520,2026-01-21 00:00:00,AH2601084,AHJPO2601890,Z26134-5,CL24121三明治网布,"430g  54""",竞争红014-48-36,全代,269,Y,13.5,,3631.5,
521,2026-01-21 00:00:00,AH2601084,AHJPO2601821,Z26092-4,YSK2360纹 双心三层网,"400g* 59""",胜利蓝126-21-11,全代,134,Y,16.5,,2211,
522,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25260-3,佳绩布,"220g 54""",蓝色282C,全代,72,Y,5,,360,
523,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25260-3open,佳绩布,"220g 54""",蓝色282C,全代,4,Y,5,,20,
524,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25267-3,佳绩布,"220g 54""",蓝色282C,全代,5,Y,5,,25,
525,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25963-2,佳绩布,"220g 54""",蓝色282C,全代,72,Y,5,,360,
526,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25964-2,佳绩布,"220g 54""",蓝色282C,全代,39,Y,5,,195,
527,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25965-2,佳绩布,"220g 54""",蓝色282C,全代,10,Y,5,,50,
528,2026-01-21 00:00:00,AH2601085,AHJPO2603689,Z25966-2,佳绩布,"220g 54""",蓝色282C,全代,12,Y,5,,60,
529,2026-01-21 00:00:00,AH2601085,AHJPO2604126,Z25963W-1,佳绩布,"220g 54""",蓝色282C,全代,24,Y,5,,120,
530,2026-01-21 00:00:00,AH2601085,AHJPO2604126,Z25260W-1,佳绩布,"220g 54""",蓝色282C,全代,24,Y,5,200,320,
531,2026-01-21 00:00:00,AH2601086,AHJPO2602153,Z26252-1,镂空圆孔YS0391纹 单层网布,"310-320g *54""",怀旧白038-90-04,全代,239,Y,9.8,,2342.2,
532,2026-01-21 00:00:00,AH2601086,AHJPO2602153,Z26252-1open,镂空圆孔YS0391纹 单层网布,"310-320g *54""",怀旧白038-90-04,全代,10,Y,9.8,,98,
533,2026-01-22 00:00:00,AH2601087,AHJPO2600614,Z26162-1,YS5908小圆孔 三明治网布,380g 54“,朦胧绿051-64-04,全代,68,Y,12.5,,850,
534,2026-01-22 00:00:00,AH2601087,AHJPO2600614,Z26162-1open,YS5908小圆孔 三明治网布,380g 54“,朦胧绿051-64-04,全代,4,Y,12.5,,50,
535,2026-01-22 00:00:00,AH2601087,AHJPO2602163,Z26237-1open,YS5908小圆孔 三明治网布,380g 54“,朦胧绿051-61-04,全代,2,Y,12.5,,25,
536,2026-01-22 00:00:00,AH2601087,AHJPO2602163,Z26237-1,YS5908小圆孔 三明治网布,380g 54“,朦胧绿051-61-04,全代,34,Y,12.5,,425,
537,2026-01-22 00:00:00,AH2601087,AHJPO2602163,Z26237-2,YS5908小圆孔 三明治网布,380g 54“,朦胧绿051-61-04,全代,23,Y,12.5,,287.5,
538,2026-01-22 00:00:00,AH2601087,AHJPO2604277,Z26237-3,YS5908小圆孔 三明治网布,380g 54“,朦胧绿051-61-04,全代,19,Y,12.5,,237.5,
539,2026-01-22 00:00:00,AH2601088,AHJPO2604277,Z25048-11,K208BK网布,"240g  54""",宝蓝色118-30-29,全代,62,Y,5.5,,341,
540,2026-01-22 00:00:00,AH2601088,AHJPO2604277,Z25048-11open,K208BK网布,"240g  54""",宝蓝色118-30-29,全代,4,Y,5.5,,22,
541,2026-01-22 00:00:00,AH2601088,AHJPO2601821,Z26092-4,镂空圆孔YS0391纹单层网布,"54""310-320g",胜利蓝126-21-11,全代,434,Y,9.8,,4253.2,
542,2026-01-22 00:00:00,AH2601088,AHJPO2601821,Z25611-13,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,47,Y,4.3,,202.1,
543,2026-01-22 00:00:00,AH2601088,AHJPO2601821,Z25609-12,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,80,Y,4.3,,344,
544,2026-01-22 00:00:00,AH2601088,AHJPO2601821,Z25611-14,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,90,Y,4.3,,387,
545,2026-01-22 00:00:00,AH2601088,AHJPO2601821,Z25654-5,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,153,Y,4.3,,657.9,
546,2026-01-22 00:00:00,AH2601089,AHJPO2601821,Z26169-3,YS571 单层网布,"530g 54""",蜡笔蓝120-25-18,全代,72,Y,16,,1152,
547,2026-01-22 00:00:00,AH2601089,AHJPO2601821,Z25002-21,XF8021纹三明治网布,"54"" 350g/Y",黑色139-18-00,全代,1043,Y,9.5,,9908.5,
548,2026-01-22 00:00:00,AH2601089,AHJPO2602174,Z26275-1,CL24100 三明治网布,"54""400g",暗黑色139-18-00,全代,47,Y,16.5,,775.5,
549,2026-01-22 00:00:00,AH2601089,AHJPO2602174,Z26290-1,CL24100 三明治网布,"54""400g",暗黑色139-18-00,全代,138,Y,16.5,,2277,
550,2026-01-22 00:00:00,AH2601089,AHJPO2602174,Z26291-1,CL24100 三明治网布,"54""400g",暗黑色139-18-00,全代,16,Y,16.5,,264,
551,2026-01-22 00:00:00,AH2601089,AHJPO2604146,Z26201-1,CL24100 三明治网布,"54""400g",暗黑色139-18-00,全代,40,Y,16.5,,660,
552,2026-01-22 00:00:00,AH2601089,AHJPO2604146,Z26208-1,CL24100 三明治网布,"54""400g",暗黑色139-18-00,全代,43,Y,16.5,,709.5,
553,2026-01-22 00:00:00,AH2601089,AHJPO2604277,Z26291-2,CL24100 三明治网布,"54""400g",暗黑色139-18-00,全代,39,Y,16.5,,643.5,
554,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25260-3,DH1503小圆点网布,"54""",白色,全代,10,Y,21,,210,
555,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25260-3open,DH1503小圆点网布,"54""",白色,全代,1,Y,21,,21,
556,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25262-3,DH1503小圆点网布,"54""",白色,全代,5,Y,21,,105,
557,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25263-3,DH1503小圆点网布,"54""",白色,全代,8,Y,21,,168,
558,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25264-2,DH1503小圆点网布,"54""",白色,全代,1,Y,21,,21,
559,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25266-2,DH1503小圆点网布,"54""",白色,全代,2,Y,21,,42,
560,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25267-3,DH1503小圆点网布,"54""",白色,全代,1,Y,21,,21,
561,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25269-3,DH1503小圆点网布,"54""",白色,全代,4,Y,21,,84,
562,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25270-3,DH1503小圆点网布,"54""",白色,全代,3,Y,21,,63,
563,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25272-2,DH1503小圆点网布,"54""",白色,全代,2,Y,21,,42,
564,2026-01-22 00:00:00,AH2601090,AHJPO2603689,Z25273-2,DH1503小圆点网布,"54""",白色,全代,2,Y,21,,42,
565,2026-01-22 00:00:00,AH2601091,AHJPO2604126,Z25260W-1,DH1503小圆点网布,"54""",白色,全代,4,Y,21,,84,
566,2026-01-22 00:00:00,AH2601091,AHJPO2604126,Z25260W-1open,DH1503小圆点网布,"54""",白色,全代,1,Y,21,,21,
567,2026-01-22 00:00:00,AH2601091,AHJPO2604126,Z25262W-1open,DH1503小圆点网布,"54""",白色,全代,1,Y,21,,21,
568,2026-01-22 00:00:00,AH2601091,AHJPO2604126,Z25262W-1,DH1503小圆点网布,"54""",白色,全代,4,Y,21,,84,
569,2026-01-22 00:00:00,AH2601091,AHJPO2603689,Z25261-3,DH1503小圆点网布,"54""",霓虹绿802C,全代,6,Y,21,,126,
570,2026-01-22 00:00:00,AH2601091,AHJPO2603689,Z25261-3open,DH1503小圆点网布,"54""",霓虹绿802C,全代,1,Y,21,,21,
571,2026-01-22 00:00:00,AH2601091,AHJPO2604126,Z25261W-1,DH1503小圆点网布,"54""",霓虹绿802C,全代,4,Y,21,,84,
572,2026-01-22 00:00:00,AH2601091,AHJPO2604126,Z25261W-1open,DH1503小圆点网布,"54""",霓虹绿802C,全代,1,Y,21,300,321,
573,2026-01-23 00:00:00,AH2601092,AHJPO2600614,Z26127-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,45,Y,13.5,,607.5,
574,2026-01-23 00:00:00,AH2601092,AHJPO2600614,Z26127-2open,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,9,Y,13.5,,121.5,
575,2026-01-23 00:00:00,AH2601092,AHJPO2600614,Z26098-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,601,Y,13.5,,8113.5,
576,2026-01-23 00:00:00,AH2601092,AHJPO2600614,Z26098-2,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,120,Y,13.5,,1620,
577,2026-01-23 00:00:00,AH2601092,AHJPO2600614,Z26128-2,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,7,Y,13.5,,94.5,
578,2026-01-23 00:00:00,AH2601093,AHJPO2601821,Z25611-12,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,379,Y,4.3,,1629.7,
579,2026-01-23 00:00:00,AH2601093,AHJPO2603103,ZY26297-1,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,538,Y,4.3,,2313.4,
580,2026-01-23 00:00:00,AH2601093,AHJPO2601437,ZY26206-1,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,126,Y,4.3,,541.8,
581,2026-01-23 00:00:00,AH2601093,AHJPO2604277,Z25608-9,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,43,Y,4.3,,184.9,
582,2026-01-23 00:00:00,AH2601093,AHJPO2604277,Z25606-12,K106/DJT 1834纹单层网布,"54""",白色109-98-01,全代,32,Y,4.3,,137.6,
583,2026-01-23 00:00:00,AH2601093,AHJPO2604277,Z25924-12,DJ132层网布,"54""  240g",白色109-98-01,全代,13,Y,6,,78,
584,2026-01-23 00:00:00,AH2601094,AHJPO2602163,Z26298-1,DJ132单层网布,"54""  240g",白色,全代,3,Y,6,,18,
585,2026-01-23 00:00:00,AH2601094,AHJPO2602163,Z26245-1,DJ132单层网布,"54""  240g",白色109-98-01,全代,35,Y,6,,210,
586,2026-01-23 00:00:00,AH2601094,AHJPO2602163,Z26238-1,DJ132单层网布,"54""  240g",白色109-98-01,全代,3,Y,6,,18,
587,2026-01-23 00:00:00,AH2601094,AHJPO2602163,Z26244-1,DJ132单层网布,"54""  240g",白色109-98-01,全代,66,Y,6,,396,
588,2026-01-23 00:00:00,AH2601094,AHJPO2602163,Z26244-1open,DJ132单层网布,"54""  240g",白色109-98-01,全代,4,Y,6,,24,
589,2026-01-23 00:00:00,AH2601094,AHJPO2604277,Z25740-9,DJ132单层网布,"54""  240g",白色109-98-01,全代,7,Y,6,,42,
590,2026-01-23 00:00:00,AH2601094,AHJPO2604277,Z26239-2,DJ132单层网布,"54""  240g",白色109-98-01,全代,17,Y,6,,102,
591,2026-01-23 00:00:00,AH2601094,AHJPO2604277,Z25825-22,DJ132单层网布,"54""  240g",白色109-98-01,全代,11,Y,6,,66,
592,2026-01-23 00:00:00,AH2601094,AHJPO2604277,Z25741-9,DJ132单层网布,"54""  240g",白色109-98-01,全代,5,Y,6,,30,
593,2026-01-23 00:00:00,AH2601094,AHJPO2604277,Z26238-3,DJ132单层网布,"54""  240g",白色109-98-01,全代,8,Y,6,,48,
594,2026-01-24 00:00:00,AH2601095,AHJPO2600614,Z26128-2,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,32,Y,13.5,,432,
595,2026-01-24 00:00:00,AH2601095,AHJPO2600614,Z26128-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,145,Y,13.5,,1957.5,
596,2026-01-24 00:00:00,AH2601095,AHJPO2600614,Z26189-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,131,Y,13.5,,1768.5,
597,2026-01-24 00:00:00,AH2601095,AHJPO2601890,Z26098-3,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,93,Y,13.5,,1255.5,
598,2026-01-24 00:00:00,AH2601095,AHJPO2602174,Z26271-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,27,Y,13.5,,364.5,
599,2026-01-24 00:00:00,AH2601095,AHJPO2602174,Z26277-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,186,Y,13.5,,2511,
600,2026-01-24 00:00:00,AH2601095,AHJPO2602174,Z26278-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,74,Y,13.5,,999,
601,2026-01-24 00:00:00,AH2601095,AHJPO2602174,Z26291-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,25,Y,13.5,,337.5,
602,2026-01-24 00:00:00,AH2601095,AHJPO2604146,Z26201-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,64,Y,13.5,,864,
603,2026-01-24 00:00:00,AH2601095,AHJPO2604146,Z26208-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,20,Y,13.5,,270,
604,2026-01-24 00:00:00,AH2601096,AHJPO2581105,ZY26090-1,K273 /CL24075 单层网布,"54"" 300g",斑鸠灰038-84-04,全代,196,Y,14,,2744,
605,2026-01-24 00:00:00,AH2601096,AHJPO2581105,ZY26090-1open,K273 /CL24075 单层网布,"54"" 300g",斑鸠灰038-84-04,全代,10,Y,14,300,440,
606,2026-01-24 00:00:00,AH2601096,AHJPO2608371,Z25928-13美线,DJ132单层网布,"54"" 240g",白色109-98-01,全代,7,Y,6,,42,
607,2026-01-24 00:00:00,AH2601096,AHJPO2601821,Z26190-4,YS571 单层网布,"54""530g",黑色139-18-00,全代,175,Y,16,,2800,
608,2026-01-24 00:00:00,AH2601096,AHJPO2604277,Z26286-2,YS571 单层网布,"54""530g",黑色139-18-00,全代,51,Y,16,,816,
609,2026-01-24 00:00:00,AH2601096,AHJPO2602163,Z26236-1,YS571 单层网布,"54""530g",黑色,全代,90,Y,16,,1440,
610,2026-01-24 00:00:00,AH2601096,AHJPO2602163,Z26236-1open,YS571 单层网布,"54""530g",黑色,全代,5,Y,16,,80,
611,2026-01-24 00:00:00,AH2601096,AHJPO2602163,Z26236-2,YS571 单层网布,"54""530g",黑色,全代,79,Y,16,,1264,
612,2026-01-24 00:00:00,AH2601097,AHJPO2603689,Z25964-2,DH1503小圆点网布,"54""",浅绿5487C,全代,6,Y,21,,126,
613,2026-01-24 00:00:00,AH2601097,AHJPO2603689,Z25964-2open,DH1503小圆点网布,"54""",浅绿5487C,全代,1,Y,21,,21,
614,2026-01-24 00:00:00,AH2601097,AHJPO2603689,Z25966-2,DH1503小圆点网布,"54""",浅绿5487C,全代,2,Y,21,,42,
615,2026-01-24 00:00:00,AH2601097,AHJPO2603689,Z25966-2open,DH1503小圆点网布,"54""",浅绿5487C,全代,1,Y,21,300,321,
616,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z25547-13,YSK2360纹双心三层网,"59""400g",白色109-98-01,全代,44,Y,16.5,,726,
617,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z26092-5,YSK2360纹双心三层网,"59""400g",胜利蓝126-21-11,全代,123,Y,16.5,,2029.5,
618,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z25001-20,D027纹单层网布,"54"" 250-260g",黑色139-18-00,全代,45,Y,6.3,,283.5,
619,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z25006-14,D027纹单层网布,"54"" 250-260g",黑色139-18-00,全代,322,Y,6.3,,2028.6,
620,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z25002-22,D027纹单层网布,"54"" 250-260g",胜利蓝126-21-11,全代,406,Y,6.3,,2557.8,
621,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z26151-5,D027纹单层网布,"54"" 250-260g",传统绿072-26-10,全代,52,Y,6.3,,327.6,
622,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z26160-3,D027纹单层网布,"54"" 250-260g",元素粉159-77-06,全代,62,Y,6.3,,390.6,
623,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z26164-3,D027纹单层网布,"54"" 250-260g",海蓝099-73-02,全代,45,Y,6.3,,283.5,
624,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z26095-5,镂空圆孔YS0391纹单层网布,"54""310-320g",海盐色036-90-02,全代,142,Y,9.8,,1391.6,
625,2026-01-25 00:00:00,AH2601098,AHJPO2608681,Z26169-4,YS571 单层网布,"530g 54""",蜡笔蓝120-25-18,全代,134,Y,16,,2144,
626,2026-01-25 00:00:00,AH2601099,AHJPO2601821,Z26190-4,FMD-F2-066 格子布,"54""",海盗黑155-31-00,全代,6,Y,15,600,690,
627,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26244-2,DJ132单层网布,"54""  240g",白色109-98-01,全代,43,Y,6,,258,
628,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26245-2,DJ132单层网布,"54""  240g",白色109-98-01,全代,14,Y,6,,84,
629,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26238-2,DJ132单层网布,"54""  240g",白色109-98-01,全代,6,Y,6,,36,
630,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26239-1,DJ132单层网布,"54""  240g",白色109-98-01,全代,4,Y,6,,24,
631,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26168-4,DJ132单层网布,"54""  240g",白色109-98-01,全代,21,Y,6,,126,
632,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z25740-8,DJ132单层网布,"54""  240g",白色109-98-01,全代,16,Y,6,,96,
633,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z25741-8,DJ132单层网布,"54""  240g",白色109-98-01,全代,13,Y,6,,78,
634,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26168-4,DJ132单层网布,"54""  240g",白色109-98-01,全代,1,Y,6,,6,
635,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26168-4open,DJ132单层网布,"54""  240g",白色109-98-01,全代,1,Y,6,,6,
636,2026-01-25 00:00:00,AH2601100,AHJPO2608681,Z26178-5,DJT-1834单层网布,"54""",黑色,全代,18,Y,4.3,,77.4,
637,2026-01-25 00:00:00,AH2601101,AHJPO2604277,Z26243-2,DJ132单层网布,"54""  240g",海盐色036-90-02,全代,24,Y,6,,144,
638,2026-01-25 00:00:00,AH2601101,AHJPO2608681,Z26112-4,DJ132单层网布,"54""  240g",海盐色036-90-02,全代,22,Y,6,,132,
639,2026-01-25 00:00:00,AH2601101,AHJPO2601821,Z26096-5,YS571 单层网布,"530g 54""",橄榄绿044-36-10,全代,76,Y,16,,1216,
640,2026-01-25 00:00:00,AH2601101,AHJPO2608681,Z26096-6,YS571 单层网布,"530g 54""",橄榄绿044-36-10,全代,97,Y,16,,1552,
641,2026-01-25 00:00:00,AH2601101,AHJPO2608681,Z26157-3,YS571 单层网布,"530g 54""",暗灰000-55-00,全代,39,Y,16,,624,
642,2026-01-25 00:00:00,AH2601101,AHJPO2601821,Z26167-3,YS571 单层网布,"530g 54""",合金灰000-47-00,全代,29,Y,16,,464,
643,2026-01-25 00:00:00,AH2601101,AHJPO2608681,Z26167-4,YS571 单层网布,"530g 54""",合金灰000-47-00,全代,106,Y,16,,1696,
644,2026-01-25 00:00:00,AH2601101,AHJPO2608681,Z26096-6,YS5908小圆孔三明治网布,"380g 54""",橄榄绿044-36-10,全代,38,Y,12.5,,475,
645,2026-01-25 00:00:00,AH2601101,AHJPO2608681,Z26096-3,YS5908小圆孔三明治网布,"380g 54""",橄榄绿044-36-10,全代,45,Y,12.5,,562.5,
646,2026-01-25 00:00:00,AH2601101,AHJPO2601821,Z25285-6,经编佳积布,"46""150平方克",黑色139-18-00,全代,135,Y,4,,540,
647,2026-01-25 00:00:00,AH2601102,AHJPO2608681,Z26167-4,YS5908小圆孔三明治网布,"380g 54""",灰色000-47-00,全代,43,Y,12.5,,537.5,
648,2026-01-25 00:00:00,AH2601102,AHJPO2608681,Z26167-2,YS5908小圆孔三明治网布,"380g 54""",灰色000-47-00,全代,33,Y,12.5,,412.5,
649,2026-01-25 00:00:00,AH2601102,AHJPO2608681,Z26157-3,YS5908小圆孔三明治网布,"380g 54""",暗灰000-55-00,全代,16,Y,12.5,,200,
650,2026-01-25 00:00:00,AH2601102,AHJPO2608681,Z25029-21,K208 BK网布,"54""240g",白色109-98-01,全代,30,Y,5.5,,165,
651,2026-01-25 00:00:00,AH2601102,AHJPO2603088,ZY25375-2,CK网布,"54""230g",荧光粉17-2435TN,全代,47,Y,4.8,,225.6,
652,2026-01-25 00:00:00,AH2601102,AHJPO2603088,ZY25375-2open,CK网布,"54""230g",荧光粉17-2435TN,全代,3,Y,4.8,,14.4,
653,2026-01-25 00:00:00,AH2601102,AHJPO2602174,Z26275-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,177,Y,13.5,,2389.5,
654,2026-01-25 00:00:00,AH2601102,AHJPO2602174,Z26290-1,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,221,Y,13.5,,2983.5,
655,2026-01-25 00:00:00,AH2601102,AHJPO2604277,Z26291-2,CL24121三明治网布,"54""430g",暗黑色139-18-00,全代,40,Y,13.5,,540,
656,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25261-3,佳绩布,"54""220g",珊瑚绿7722C,全代,42,Y,5,,210,
657,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25262-3,佳绩布,"54""220g",珊瑚绿7722C,全代,36,Y,5,,180,
658,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25263-3,佳绩布,"54""220g",珊瑚绿7722C,全代,56,Y,5,,280,
659,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25264-2,佳绩布,"54""220g",珊瑚绿7722C,全代,4,Y,5,,20,
660,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25266-2,佳绩布,"54""220g",珊瑚绿7722C,全代,13,Y,5,,65,
661,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25268-3,佳绩布,"54""220g",珊瑚绿7722C,全代,14,Y,5,,70,
662,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25269-3,佳绩布,"54""220g",珊瑚绿7722C,全代,32,Y,5,,160,
