泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
109,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25001-15open,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,7,Y,9.5,,66.5,
110,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25006-12,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,101,Y,9.5,,959.5,
111,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25002-17,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,102,Y,9.5,,969,
112,2026-01-06 00:00:00,AH2601017,AHJPO2581051,Z25001-15,XF8021纹 三明治网布,"350g/Y 54""",黑色139-18-00,全代,127,Y,9.5,,1206.5,
113,2026-01-06 00:00:00,AH2601018,AHJPO2581051,Z25569-7,YS5908纹三明治网布,380*54'',黑色139-18-00,全代,31,Y,12.5,,387.5,
114,2026-01-06 00:00:00,AH2601018,AHJPO2581051,Z25569-6open,YS5908纹三明治网布,380*54'',黑色139-18-00,全代,3,Y,12.5,,37.5,
115,2026-01-06 00:00:00,AH2601018,AHJPO2581051,Z25569-6,YS5908纹三明治网布,380*54'',黑色139-18-00,全代,48,Y,12.5,,600,
116,2026-01-06 00:00:00,AH2601018,AHJPO2581051,Z25296-3,YS5908纹三明治网布,380*54'',黑色139-18-00,全代,269,Y,12.5,,3362.5,
117,2026-01-06 00:00:00,AH2601018,AHJPO2600614,Z26190-2,YS571 单层网布,"530*54""",黑色139-18-00,全代,194,Y,16,,3104,
118,2026-01-06 00:00:00,AH2601018,AHJPO2600614,Z26190-1,YS571 单层网布,"530*54""",黑色139-18-00,全代,62,Y,16,,992,
119,2026-01-08 00:00:00,AH2601019,AHJPO2600614,Z26178-1,DJ132POLYPAG单层网布,"240g 54""",灰色000-73-00,全代,57,Y,6,,342,
120,2026-01-08 00:00:00,AH2601019,AHJPO2600614,Z26178-2,DJ132POLYPAG单层网布,"240g 54""",灰色000-73-00,全代,10,Y,6,,60,
121,2026-01-08 00:00:00,AH2601019,AHJPO2600614,Z26178-1open,DJ132POLYPAG单层网布,"240g 54""",灰色000-73-00,全代,3,Y,6,,18,
122,2026-01-08 00:00:00,AH2601019,AHJPO2601183,Z25268-2,DH1503小圆点 网布,"54 """,玫红806U,全代,1,Y,21,,21,
123,2026-01-08 00:00:00,AH2601019,AHJPO2581051,Z25516-3,佳积布,"180g 54""",黑色,全代,53,Y,3.9,,206.7,
124,2026-01-08 00:00:00,AH2601019,AHJPO2581051,Z25002-18,XF8021纹三明治网布,"350g/Y 54""",黑色139-18-00,全代,720,Y,9.5,,6840,
125,2026-01-08 00:00:00,AH2601019,AHJPO2581051,Z25006-11,XF8021纹三明治网布,"350g/Y 54""",黑色139-18-00,全代,398,Y,9.5,,3781,
126,2026-01-08 00:00:00,AH2601020,AHJPO2600614,Z26114-1,DJ132单层网布 耐黄,"54 """,白色,全代,10,Y,6,,60,
127,2026-01-08 00:00:00,AH2601020,AHJPO2600614,Z26114-1open,DJ132单层网布 耐黄,"54 """,白色,全代,1,Y,6,,6,
128,2026-01-08 00:00:00,AH2601020,AHJPO2600614,Z26099-1,DJ132单层网布 耐黄,"54 """,白色,全代,39,Y,6,,234,
129,2026-01-08 00:00:00,AH2601020,0,Z26011,YS-K086 单层网布,"280-290g  54""",浅褐035-73-04,全代,1,Y,9,,9,
