泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251216011,V253259,100272330,C0504105,FL-FW25259J,"K208单层网布180g 54""",118-30-29蓝,17.1,码,,0,FLDH260102,2026-01-12 00:00:00,,
PA251216011,V253259,100272330,C0504105,FL-FW25259J,"K208单层网布180g 54""",118-30-29蓝,0.2,码,,预补数,FLDH260102,2026-01-12 00:00:00,,
,,,,,小缸费,118-30-29蓝,1,个,,,FLDH260102,2026-01-12 00:00:00,,
PA251216011,V253256,100272331,C0504106,FL-FW25259J,"K208单层网布180g 54""",154-77-21粉,51.5,码,1,0,FLDH260103,2026-01-12 00:00:00,,
PA251216011,V253256,100272331,C0504106,FL-FW25259J,"K208单层网布180g 54""",154-77-21粉,0.2,码,,预补数,FLDH260103,2026-01-12 00:00:00,,
PA251216011,V253258,100272331,C0504106,FL-FW25259J,"K208单层网布180g 54""",154-77-21粉,17.1,码,,0,FLDH260103,2026-01-12 00:00:00,,
PA251216011,V253258,100272331,C0504106,FL-FW25259J,"K208单层网布180g 54""",154-77-21粉,0.2,码,,预补数,FLDH260103,2026-01-12 00:00:00,,
,,,,,小缸费,154-77-21粉,1,个,,,FLDH260103,2026-01-12 00:00:00,,
PA251216011,V253261,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,6.6,码,1,0,FLDH260104,2026-01-12 00:00:00,,
PA251216011,V253261,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,0.1,码,,预补数,FLDH260104,2026-01-12 00:00:00,,
PA251216011,V253263,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,44.1,码,,0,FLDH260104,2026-01-12 00:00:00,,
PA251216011,V253263,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,0.2,码,,预补数,FLDH260104,2026-01-12 00:00:00,,
PA251216011,V253268,100240133,C0502691,FL-FW25259J,"K208单层网布180g 54""",139-18-00黑,10.8,码,,0,FLDH260104,2026-01-12 00:00:00,,
