泉州阳硕鞋材有限公司,,,,,,,,,,,,收货人填 13706060768dick郑，,
送 货 单,,,,,,,,,,,,,
收货单位：福建安恒致远鞋业有限公司（越南）,,,,,,,NO.：,APEX2603006,,,,,
地址：福建省莆田市涵江区国欢镇林炳村涵华东路,,,,,,,送货日期：,2026-03-08 00:00:00,,,,,
订单号,指令号,材料名称,规格,颜色,数量,单位,支数,单价,金额,批号,,,
AHJPO2601313,ZVN25015-081,YS-0731 三明治网布,"54""",白玉髓12-4300TPG,31,Y,,,,,APEX2601016,2026-01-19 00:00:00,
,,小缸费,,白玉髓12-4300TPG,1,个,,,,,APEX2601016,2026-01-19 00:00:00,
AHJPO2601313,ZVN25015-083open,尼龙布,"54""",黑夜藍19-4023TPG,2,Y,1,,,,APEX2601016,2026-01-19 00:00:00,
AHJPO2601313,ZVN25015-083,尼龙布,"54""",黑夜藍19-4023TPG,22,Y,,,,,APEX2601016,2026-01-19 00:00:00,
,,小缸费,,黑夜藍19-4023TPG,1,个,,,,,APEX2601016,2026-01-19 00:00:00,
AHJPO2581109,ZVN25007-031-4,佳积布,"120g* 54""",白色,104,Y,1,,,,APEX2601017,2026-01-20 00:00:00,
AHJPO2604222,ZVN25002-008-11,YS-0731 三明治网布,"54""",明亮白11-0601TPG,51,Y,1,,,,APEX2601017,2026-01-20 00:00:00,
AHJPO2601313,ZVN25015-082open,8安  帆布,"54""",墨綠色18-5610TPG,3,Y,1,,,,APEX2601018,2026-01-21 00:00:00,
AHJPO2601313,ZVN25015-082,8安  帆布,"54""",墨綠色18-5610TPG,58,Y,,,,,APEX2601018,2026-01-21 00:00:00,
AHJPO2601313,ZVN25015-082-1,8安  帆布,"54""",墨綠色18-5610TPG,18,Y,,,,,APEX2601018,2026-01-21 00:00:00,
,,小缸费,,墨綠色18-5610TPG,1,个,,,,,APEX2601018,2026-01-21 00:00:00,
AHJPO2604222,ZVN25002-008-11,8安  帆布,"54""",古沙色15-1314TPG,191,Y,2,,,,APEX2601018,2026-01-21 00:00:00,
120+71=191,,小缸费,,古沙色15-1314TPG,1,个,,,,,APEX2601018,2026-01-21 00:00:00,
AHJPO2601313,ZVN25015-083,YS-0731 三明治网布,"54""",黑夜藍19-4023TPG,12,Y,1,,,,APEX2601018,2026-01-21 00:00:00,
AHJPO2601313,ZVN25015-083open,YS-0731 三明治网布,"54""",黑夜藍19-4023TPG,1,Y,,,,,APEX2601018,2026-01-21 00:00:00,
,,小缸费,,黑夜藍19-4023TPG,1,个,,,,,APEX2601018,2026-01-21 00:00:00,
AHJPO2601313,ZVN25015-082open,YS-0731 三明治网布,"54""",极度灰17-5104TPG,1,Y,1,,,,APEX2601019,2026-01-22 00:00:00,
AHJPO2601313,ZVN25015-082-1,YS-0731 三明治网布,"54""",极度灰17-5104TPG,6,Y,,,,,APEX2601019,2026-01-22 00:00:00,
AHJPO2601313,ZVN25015-082,YS-0731 三明治网布,"54""",极度灰17-5104TPG,16,Y,,,,,APEX2601019,2026-01-22 00:00:00,
AHJPO2601313,ZVN25015-082-1open,YS-0731 三明治网布,"54""",极度灰17-5104TPG,1,Y,,,,,APEX2601019,2026-01-22 00:00:00,
,,小缸费,,极度灰17-5104TPG,1,个,,,,,APEX2601019,2026-01-22 00:00:00,
AHJPO2601313,ZVN25015-083,8安 帆布,"54""",霜雲杉18-5622TPG,44,Y,,,,,APEX2601020,2026-01-23 00:00:00,
