泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
送  货  单,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市星联鞋业有限公司,,,,,,,NO.：,XC2603010,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区西天尾镇南少林路777号,,,,,,,送货日期：,2026-03-07 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,
,,WJ000485,"120G 佳积布54""",浅棕色,28,码,1,,,,XC2510003,2025-10-05 00:00:00,,,,,,,,,,,
4510228486,3X000175M,WK000299,"230G K208网布54""",米白色,80,码,9,,,,XC2510029,2025-10-26 00:00:00,105*8+78=918,实发918Y，2025/11月入库838Y，欠80Y未入库,,,,,,,,,
,,WB12252,"棕色10安帆布54""",棕色,50,Y,4,,,,XC2511020,2025-11-14 00:00:00,164*3+23=515,实发515Y，2025/11月入10Y+455Y，欠50Y未入库,,,,,,,,,
,,WD000907,"230G K209网布57""",灰褐色14-4501TPG,17,码,1,,,,XC2511023,2025-11-24 00:00:00,,,,,,,,,,,
,,,小缸费,灰褐色14-4501TPG,1,个,,,,,XC2511023,2025-11-24 00:00:00,,,,,,,,,,,
,,WD000392,"200G莱卡布54""",黑色,58,码,1,,,,XC2511023,2025-11-24 00:00:00,,,,,,,,,,,
,,WD002483,"230G K209网布57""",白色,23,码,1,,,,XC2511023,2025-11-24 00:00:00,,,,,,,,,,,
,,WB10687,"180G佳积布54""",白色,200,码,2,,,125+75=200,XC2511023,2025-11-24 00:00:00,,,,,,,,,,,
4510239540,2X003441,WD002118,"350G 拉毛四面弹54""",墨青蓝色,120,码,1,,,,XC2511027,2025-11-30 00:00:00,,,,,,,,,,,
4510239893,2X003367BD,WB6769,"300G 白色提花天鹅绒54""",白色,4,码,1包,,,,XC2512002,2025-12-03 00:00:00,,,,,,,,,,,
,,WS001431,"320G YSD137加厚内里布54""",白色,48,码,1,,,,XC2512004,2025-12-06 00:00:00,,,,,,,,,,,
