泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市联大鞋业有限公司,,,,,NO.：,LD251103,,,,,,,,,,,,,,,
地址：福建省莆田市城厢区华林工业区,,,,,送货日期：,2025-11-20 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌5.5,黑色,53,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌6,黑色,13,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌6.5,黑色,72,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌7,黑色,114,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌7.5,黑色,12,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌8,黑色,116,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌8.5,黑色,62,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌9,黑色,13,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌9.5,黑色,48,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25292,LD2435,LD2435飞织鞋舌10,黑色,13,双,,,,,LD251025,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌5.5,黑色,60,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌6,黑色,15,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌6.5,黑色,90,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌7,黑色,130,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌7.5,黑色,30,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌8,黑色,115,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
25293,LD2435,LD2435飞织鞋舌8.5,黑色,73,双,,,,,LD251026,2025-10-23 00:00:00,,,,,,,,,,
