泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费,,,,,,,,,,,
送  货  单,,,,,,,,,,,,,,,,,,,,,,
收货单位：福建省莆田市双联鞋业有限公司,,,,,,NO.：,SHL2505055,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区少林北街后埔村,,,,,,送货日期：,2025-05-23 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,
,2L001201,WF006430,13117冷灰COOL GRAY 7U飞织舌面10.5,冷灰COOL,55,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006431,13117冷灰COOL GRAY 7U飞织舌面11,冷灰COOL,100,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006432,13117冷灰COOL GRAY 7U飞织舌面11.5,冷灰COOL,93,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006433,13117冷灰COOL GRAY 7U飞织舌面12,冷灰COOL,18,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006434,13117冷灰COOL GRAY 7U飞织舌面12.5,冷灰COOL,20,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
,2L001201,WF006435,13117冷灰COOL GRAY 7U飞织舌面13,冷灰COOL,25,双,,,,,SHL2505022,2025-05-12 00:00:00,,,,,,,,,,
,2L001209,WF005067,13117黑色飞织面6.5,黑色,4,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
,2L001209,WF005068,13117黑色飞织面7,黑色,20,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
,2L001209,WF005070,13117黑色飞织面8,黑色,94,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
,2L001209,WF005075,13117黑色飞织面10.5,黑色,38,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
,2L001209,WF005078,13117黑色飞织面12,黑色,79,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
,2L001209,WF005079,13117黑色飞织面12.5,黑色,120,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
,2L001209,WF005080,13117黑色飞织面13,黑色,40,双,,,,,SHL2505023,2025-05-14 00:00:00,,,,,,,,,,
